Strategy,Asset,Timeframe,Net_Profit_USD,ROI_Percent,ROI,ROI_Annual_Percent,ROI_Per_Day_Pct,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Max_Drawdown_USD,Max_Drawdown_Percent,Gross_Drawdown_USD,Gross_Drawdown_Percent,Net_Drawdown_USD,Net_Drawdown_Percent,Current_Drawdown_USD,Current_Drawdown_Percent,Performance_Grade,Deployment_Status,Rank,Initial_Capital_USD,Final_Capital_USD,Time_period_checked,Time_start,time_end,fees_exchnage,Total_Trades,Data_Source
HA Trend BINANCEUSDT 2026-04-03,DOT,4h,1246408.04,12464.08,124.6408,138.41,0.3792,77.45,6.77,2.7,-83036.97,-6.2,-216092.3,-16.13,-176.23,-1.76,-83036.97,-6.2,PROMISING,TIER_2,27,10000,1256408.04,2032_days,07-09-2020,01-04-2026,0.06%,541,tv_backtester_jan_2024
Donchian Trend BINANCEUSDT 2026-04-03,BNB,4h,11901348.62,119013.49,1190.1349,133.54,0.3659,56.69,11.23,1.83,-223834.51,-3.11,-1163277.78,-9.75,-5372.94,-53.73,-21069.01,-0.18,PROMISING,TIER_2,16,10000,11911348.62,3050_days,25-11-2017,02-04-2026,0.06%,1136,tv_backtester_jan_2024
KC Breakout BINANCEUSDT.P 2026-04-03,DOT,4h,1065191.49,10651.91,106.5191,132.89,0.3641,78.36,6.66,2.28,-76234.88,-6.62,-188047.39,-16.33,0,0,-76234.88,-6.62,PROMISING,TIER_2,31,10000,1075191.49,2021_days,12-09-2020,27-03-2026,0.06%,402,tv_backtester_jan_2024
HA Trend BINANCEUSDT 2026-04-03,ETH,4h,11220159.8,112201.6,1122.016,127.02,0.348,83.23,13.79,2.62,-168211.7,-1.62,-877592.68,-7.81,0,0,0,0,PROMISING,TIER_2,17,10000,11230159.8,3129_days,07-09-2017,02-04-2026,0.06%,835,tv_backtester_jan_2024
HA Trend BINANCEUSDT.P 2026-04-03,ETH,4h,1450457.48,14504.57,145.0457,120.74,0.3308,83.01,14.04,3.03,-24573.95,-1.8,-111194.16,-7.61,0,0,0,0,PROMISING,TIER_2,25,10000,1460457.48,2299_days,16-12-2019,02-04-2026,0.06%,624,tv_backtester_jan_2024
HA Trend BINANCEUSDT.P 2026-04-03,XRP,4h,1193454.41,11934.54,119.3454,117.03,0.3206,70.97,22,3.36,-11167.08,-1.64,-56840.24,-4.72,-1025.59,-10.26,0,0,PROMISING,TIER_2,29,10000,1203454.41,2258_days,25-01-2020,02-04-2026,0.06%,620,tv_backtester_jan_2024
HA Trend BINANCEUSDT.P 2026-04-03,SOL,4h,591208.07,5912.08,59.1208,110.9,0.3038,66.28,9.43,2.9,-11229.2,-15.76,-70106.56,-11.66,-303.01,-3.03,0,0,PROMISING,TIER_2,35,10000,601208.07,2005_days,04-10-2020,01-04-2026,0.06%,513,tv_backtester_jan_2024
HA Trend BINANCEUSDT.P 2026-04-03 (1),SOL,4h,591208.07,5912.08,59.1208,110.9,0.3038,66.28,9.43,2.9,-11229.2,-15.76,-70106.56,-11.66,-303.01,-3.03,0,0,PROMISING,TIER_2,36,10000,601208.07,2005_days,04-10-2020,01-04-2026,0.06%,513,tv_backtester_jan_2024
HA Trend BINANCEUSDT.P 2026-04-03,ADA,4h,714133.53,7141.34,71.4134,101.47,0.278,69.35,10.58,2.98,-17958.19,-2.42,-74538.41,-10.04,-1325.56,-13.26,-17958.19,-2.42,PROMISING,TIER_2,33,10000,724133.53,2233_days,19-02-2020,02-04-2026,0.06%,558,tv_backtester_jan_2024
Aroon Trend BINANCEUSDT 2026-04-03,LDO,4h,134351.34,1343.51,13.4351,100.77,0.2761,82.57,10.24,2.82,-2016.8,-3.25,-14535.46,-10.07,-234.88,-2.35,0,0,PROMISING,TIER_2,65,10000,144351.34,1399_days,29-05-2022,28-03-2026,0.06%,218,tv_backtester_jan_2024
