Strategy,Asset,Timeframe,Net_Profit_USD,ROI_Percent,ROI,CAGR_Percent,ROI_Per_Day_Pct,Win_Rate_Percent,Win_Rate_Adjusted,Profit_Factor,Sharpe_Ratio,Avg_Win_USD,Avg_Loss_USD,Win_Loss_Ratio,Trades_Per_Year,Max_Drawdown_USD,Max_Drawdown_Percent,Gross_Drawdown_USD,Gross_Drawdown_Percent,Net_Drawdown_USD,Net_Drawdown_Percent,Current_Drawdown_USD,Current_Drawdown_Percent,WR_Flag,Performance_Grade,Deployment_Status,Rank,Initial_Capital_USD,Final_Capital_USD,Time_period_checked,Time_start,time_end,fees_exchnage,Total_Trades,Data_Source
G30 ADX DI Donchian Wide [Webhook] BINANCEUSDT.P 2026-04-08,OP,4h,107641140.3,1076411.4,10764.114,1069.35,0.6755,80.43,80.43,6.32,2.66,215992.55,140461.45,1.54,194.9,-8452608.75,-7.28,-20226448.89,-17.42,0,0,-8452608.75,-7.28,HIGH_WR,PROMISING,TIER_2,66,10000,107651140.3,1379_days,21-06-2022,31-03-2026,0.06%,736,tv_backtester_jan_2024
G20 Stoch Donchian Trend [Webhook] BINANCEUSDT.P 2026-04-08,ETH,4h,107072223.1,1070722.23,10707.2223,335.34,0.4035,83.87,83.87,14.39,2.13,153632,55542.67,2.77,141.6,-1610856,-1.61,-7998145.04,-7.47,0,0,0,0,HIGH_WR,STRONG,TIER_1,67,10000,107082223.1,2304_days,16-12-2019,08-04-2026,0.06%,893,tv_backtester_jan_2024
G17 Donchian PSAR Trend [Webhook] BINANCEUSDT.P 2026-04-08,ETH,4h,105893187.9,1058931.88,10589.3188,334.57,0.4031,84.29,84.29,14.97,2.21,151099.63,54161.65,2.79,141.2,-1593119.6,-1.61,-7582630.92,-7.16,0,0,0,0,HIGH_WR,STRONG,TIER_1,68,10000,105903187.9,2304_days,16-12-2019,08-04-2026,0.06%,891,tv_backtester_jan_2024
G12 SuperTrend Donchian [Webhook] BINANCEUSDT.P 2026-04-08,ETH,4h,91949706.21,919497.06,9194.9706,324.96,0.3969,84.15,84.15,15.16,2.12,136345.33,47732.52,2.86,136,-1383365.5,-1.61,-6491622.09,-7.06,0,0,0,0,HIGH_WR,STRONG,TIER_1,69,10000,91959706.21,2304_days,16-12-2019,08-04-2026,0.06%,858,tv_backtester_jan_2024
G35 Ichimoku Donchian Wide [Webhook] BINANCEUSDT.P 2026-04-08,XRP,4h,91055342.9,910553.43,9105.5343,336.12,0.404,74.21,74.21,12.26,1.96,145374.61,34135.61,4.26,148.5,-1432186.8,-1.62,-8090139.08,-8.88,-29.98,-0.3,0,0,,STRONG,TIER_1,70,10000,91065342.9,2261_days,27-01-2020,06-04-2026,0.06%,919,tv_backtester_jan_2024
G13 MACD Donchian Trend [Webhook] BINANCEUSDT.P 2026-04-08,ETH,4h,87367103.29,873671.03,8736.7103,321.53,0.3947,84.33,84.33,15.08,2.13,129780.2,46301.64,2.8,135.5,-1314428.6,-1.61,-6204419.21,-7.1,0,0,0,0,HIGH_WR,STRONG,TIER_1,71,10000,87377103.29,2304_days,16-12-2019,08-04-2026,0.06%,855,tv_backtester_jan_2024
G25 CCI Pure HighTP [Webhook] BINANCEUSDT.P 2026-04-08,DOT,4h,83738626.63,837386.27,8373.8627,406.76,0.4453,78.4,78.4,6.29,2.67,155825.13,89963.8,1.73,146.4,-10063016.57,-10.73,-15833629.66,-16.88,0,0,-10063016.57,-10.73,,PROMISING,TIER_2,72,10000,83748626.63,2033_days,12-09-2020,08-04-2026,0.06%,815,tv_backtester_jan_2024
G30 ADX DI Donchian Wide [Webhook] BINANCEUSDT.P 2026-04-08,LDO,4h,82817026.05,828170.26,8281.7026,1261.46,0.7175,84.4,84.4,7.67,2.93,167662.88,118242.76,1.42,194.8,-1199020.2,-1.61,-12415489.47,-14.99,0,0,0,0,HIGH_WR,STRONG,TIER_1,73,10000,82827026.05,1262_days,13-10-2022,28-03-2026,0.06%,673,tv_backtester_jan_2024
G31 SuperTrend Donchian Wide [Webhook] BINANCEUSDT.P 2026-04-08,XRP,4h,71974772.77,719747.73,7197.4773,319.87,0.3936,73.47,73.47,11.67,1.94,126359.3,29986.99,4.21,137,-1142719.4,-1.62,-6747072.57,-9.37,-44.88,-0.45,0,0,,STRONG,TIER_1,74,10000,71984772.77,2261_days,27-01-2020,06-04-2026,0.06%,848,tv_backtester_jan_2024
G11 Donchian CCI Power [Webhook] BINANCEUSDT.P 2026-04-08,ADA,4h,70997056.29,709970.56,7099.7056,329.05,0.3995,74.31,74.31,8.98,1.98,129693.92,41757.73,3.11,136.1,-2043850.6,-3.3,-8894397.46,-12.49,-3339.29,-33.39,-214612.06,-0.3,,STRONG,TIER_1,75,10000,71007056.29,2224_days,25-02-2020,29-03-2026,0.06%,829,tv_backtester_jan_2024
