source_file,strategy_display,strategy,asset,timeframe,annualization_metric,annualized_return_pct,roi_per_day_pct,win_rate_percent,profit_factor,gross_drawdown_percent,total_trades,deployment_status,time_period_checked,time_start,time_end,fees_exchange,data_source,status_group,credibility_score,flags,eligible_for_paper,promotion_gate,oos_status,paper_trade_recommendation
combo_strategy_results_good.csv,Momentum V2 BINANCEUSDT 2026-04-03,Momentum V2,LDO,4h,ROI_Annual_Percent,74.35,0.2037,82.38,7.09,14.47,193,TIER_2,1399_days,28-05-2022,28-03-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,67.7,LOW_TRADES,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_cagr.csv,4 Hull MA Cross Volume BINANCEUSDT.P 2026-04-06,4 Hull MA Cross Volume,ETH,4h,CAGR_Percent,71.14,0.1472,85.48,8.94,12.17,365,TIER_2,2312_days,01-12-2019,31-03-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,67.21,SCREENING_ONLY_SOURCE,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_cagr2.csv,4 Hull MA Cross Volume BINANCEUSDT.P 2026-04-06,4 Hull MA Cross Volume,ETH,4h,CAGR_Percent,71.14,0.1472,85.48,8.94,12.17,365,TIER_2,2312_days,01-12-2019,31-03-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,67.21,SCREENING_ONLY_SOURCE,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_good.csv,6 BB Squeeze V2 BINANCEUSDT 2026-04-02,6 BB Squeeze V2,ETH,1h,ROI_Annual_Percent,45.61,0.125,80.62,16.84,4.6,129,PAPER_TRADE,1266_days,11-10-2022,30-03-2026,0.06%,tv_backtester_jan_2024,PAPER_ONLY,66.26,"NON_4H,LOW_TRADES",False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_cagr.csv,2 BB Mean Reversion Volume BINANCEUSDT.P 2026-04-06,2 BB Mean Reversion Volume,ETH,4h,CAGR_Percent,112.25,0.2063,85.3,7.76,14.49,660,TIER_2,2307_days,12-12-2019,06-04-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,66.22,SCREENING_ONLY_SOURCE,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_cagr2.csv,2 BB Mean Reversion Volume BINANCEUSDT.P 2026-04-06,2 BB Mean Reversion Volume,ETH,4h,CAGR_Percent,112.25,0.2063,85.3,7.76,14.49,660,TIER_2,2307_days,12-12-2019,06-04-2026,0.06%,tv_backtester_jan_2024,PAPER_BORDERLINE,66.22,SCREENING_ONLY_SOURCE,False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_cagr.csv,6 Keltner Channel Breakout RSI BINANCEUSDT.P 2026-04-06,6 Keltner Channel Breakout RSI,BTC,4h,CAGR_Percent,22.7,0.056,86.67,14.86,5.19,135,PAPER_TRADE,2270_days,07-01-2020,27-03-2026,0.06%,tv_backtester_jan_2024,PAPER_ONLY,66.06,"LOW_TRADES,SCREENING_ONLY_SOURCE",False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_cagr2.csv,6 Keltner Channel Breakout RSI BINANCEUSDT.P 2026-04-06,6 Keltner Channel Breakout RSI,BTC,4h,CAGR_Percent,22.7,0.056,86.67,14.86,5.19,135,PAPER_TRADE,2270_days,07-01-2020,27-03-2026,0.06%,tv_backtester_jan_2024,PAPER_ONLY,66.06,"LOW_TRADES,SCREENING_ONLY_SOURCE",False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_cagr.csv,8 Stochastic DMI Trend Fusion BINANCEUSDT.P 2026-04-06,8 Stochastic DMI Trend Fusion,BTC,4h,CAGR_Percent,20.17,0.0503,71.72,12.6,5.97,198,PAPER_TRADE,2343_days,30-10-2019,30-03-2026,0.06%,tv_backtester_jan_2024,PAPER_ONLY,66.01,"LOW_TRADES,SCREENING_ONLY_SOURCE",False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
combo_strategy_results_cagr2.csv,8 Stochastic DMI Trend Fusion BINANCEUSDT.P 2026-04-06,8 Stochastic DMI Trend Fusion,BTC,4h,CAGR_Percent,20.17,0.0503,71.72,12.6,5.97,198,PAPER_TRADE,2343_days,30-10-2019,30-03-2026,0.06%,tv_backtester_jan_2024,PAPER_ONLY,66.01,"LOW_TRADES,SCREENING_ONLY_SOURCE",False,NOT_SHORTLISTED,NOT_APPLICABLE,NO
