Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,roi,ROI/annum,ROI_per_annum_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Max_Drawdown,Performance_Grade,Deployment_Status,Data_Source,Time_period_checked,Time_start,time_end,fees_exchnage,Parameters,Candle_Period
257,EMA_Convergence,BTCUSDT,4h,10000,8869.95,-1130.05,-11.3,-1130.05,-1130.05,85,15,70,17.65,0.91,3.69,-0.07,39.43,C,Inactive,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
258,VWAP_ADX_Trade,BTCUSDT,4h,10000,8860.28,-1139.72,-11.4,-1139.72,-1139.72,80,15,65,18.75,0.92,4.74,-0.04,40.42,C,Inactive,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
259,Breakout_Success,BTCUSDT,1h,10000,8851.95,-1148.05,-11.48,-1148.05,-1148.05,74,13,61,17.57,0.92,4.86,-0.05,47.23,C,Inactive,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
260,Volume_Confirm,BTCUSDT,1h,10000,8851.95,-1148.05,-11.48,-1148.05,-1148.05,74,13,61,17.57,0.92,4.86,-0.05,47.23,C,Inactive,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
261,Breakout_Volume_Confirm,BTCUSDT,1h,10000,8851.95,-1148.05,-11.48,-1148.05,-1148.05,74,13,61,17.57,0.92,4.86,-0.05,47.23,C,Inactive,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
262,ADX_Breakout_Pro,BTCUSDT,1h,10000,8851.95,-1148.05,-11.48,-1148.05,-1148.05,74,13,61,17.57,0.92,4.86,-0.05,47.23,C,Inactive,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
263,Volume_Profile_Breakout,BTCUSDT,1h,10000,8851.95,-1148.05,-11.48,-1148.05,-1148.05,74,13,61,17.57,0.92,4.86,-0.05,47.23,C,Inactive,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
264,Volume_MACD_ADX,BTCUSDT,15m,10000,8852.15,-1147.85,-11.48,-1147.85,-1147.85,37,6,31,16.22,0.87,6.6,-0.12,42.74,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",15m
265,EMA_Convergence,BTCUSDT,15m,10000,8852.17,-1147.83,-11.48,-1147.83,-1147.83,65,10,55,15.38,0.89,4.66,-0.07,41.0,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",15m
266,Max_Agreement,BTCUSDT,1h,10000,8846.62,-1153.38,-11.53,-1153.38,-1153.38,33,5,28,15.15,0.86,6.59,-0.18,39.06,C,Inactive,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.025, TP:0.15, TS:0.025",1h
