Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,roi,ROI/annum,ROI_per_annum_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Max_Drawdown,Performance_Grade,Deployment_Status,Data_Source,Time_period_checked,Time_start,time_end,fees_exchnage,Parameters,Candle_Period
331,BB_Stochastic_ADX,BNBUSDT,15m,10000,10549.09,549.09,5.49,5.49,5.49,109,18,91,16.51,1.03,5.57,0.21,52.68,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.01, TP:0.07, TS:0.01",15m
332,EMA_Convergence_Pro,BNBUSDT,4h,10000,10535.58,535.58,5.36,5.36,5.36,82,17,65,20.73,1.03,4.65,0.19,41.74,C,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.012, TP:0.08, TS:0.012",4h
333,Swing_Trade,BNBUSDT,15m,10000,10532.81,532.81,5.33,5.33,5.33,71,15,56,21.13,1.03,6.73,0.31,54.48,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.015, TP:0.08, TS:0.015",15m
334,EMA_Convergence,BNBUSDT,1h,10000,10530.15,530.15,5.3,5.3,5.3,181,34,147,18.78,1.02,3.59,0.11,49.1,C,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.01, TP:0.07, TS:0.01",1h
335,ADX_Breakout_Pro,BNBUSDT,1h,10000,10516.38,516.38,5.16,5.16,5.16,98,20,78,20.41,1.02,5.22,0.2,51.29,C,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
336,Volume_Profile_Breakout,BNBUSDT,1h,10000,10516.38,516.38,5.16,5.16,5.16,98,20,78,20.41,1.02,5.22,0.2,51.29,C,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
337,Breakout_Success,BNBUSDT,1h,10000,10516.38,516.38,5.16,5.16,5.16,98,20,78,20.41,1.02,5.22,0.2,51.29,C,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
338,Volume_Trend_ADX,BNBUSDT,4h,10000,10516.15,516.15,5.16,5.16,5.16,47,10,37,21.28,1.05,5.81,0.29,35.9,C,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
339,MACD_Trend_Strength,BNBUSDT,4h,10000,10516.15,516.15,5.16,5.16,5.16,47,10,37,21.28,1.05,5.81,0.29,35.9,C,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
340,Volume_Confirm,BNBUSDT,1h,10000,10516.38,516.38,5.16,5.16,5.16,98,20,78,20.41,1.02,5.22,0.2,51.29,C,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
341,Breakout_Volume_Confirm,BNBUSDT,1h,10000,10516.38,516.38,5.16,5.16,5.16,98,20,78,20.41,1.02,5.22,0.2,51.29,C,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
342,Breakout_ADX,BNBUSDT,1h,10000,10508.26,508.26,5.08,5.08,5.08,83,16,67,19.28,1.02,6.0,0.24,51.14,C,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.02, TP:0.12, TS:0.02",1h
343,Breakout_EMA_ADX_VWAP,BNBUSDT,15m,10000,10485.34,485.34,4.85,4.85,4.85,43,9,34,20.93,1.03,8.61,0.48,51.86,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.02, TP:0.12, TS:0.02",15m
344,Oversold_Recovery,BNBUSDT,15m,10000,10485.03,485.03,4.85,4.85,4.85,125,22,103,17.6,1.02,5.01,0.18,52.26,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.008, TP:0.06, TS:0.008",15m
345,BB_Stochastic_Trade,BNBUSDT,15m,10000,10485.03,485.03,4.85,4.85,4.85,125,22,103,17.6,1.02,5.01,0.18,52.26,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.008, TP:0.06, TS:0.008",15m
346,Double_Bottom_Formation,BNBUSDT,15m,10000,10485.03,485.03,4.85,4.85,4.85,125,22,103,17.6,1.02,5.01,0.18,52.26,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.008, TP:0.06, TS:0.008",15m
347,Mean_Reversion_Pro,BNBUSDT,15m,10000,10485.03,485.03,4.85,4.85,4.85,125,22,103,17.6,1.02,5.01,0.18,52.26,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.008, TP:0.06, TS:0.008",15m
348,RSI_Confirmation,BNBUSDT,15m,10000,10485.03,485.03,4.85,4.85,4.85,125,22,103,17.6,1.02,5.01,0.18,52.26,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.008, TP:0.06, TS:0.008",15m
349,Volume_EMA_Stochastic_ADX,BNBUSDT,1h,10000,10473.26,473.26,4.73,4.73,4.73,84,16,68,19.05,1.03,5.06,0.19,47.63,C,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.018, TP:0.1, TS:0.018",1h
350,Breakout_EMA_ADX_VWAP,BNBUSDT,1h,10000,10469.52,469.52,4.7,4.7,4.7,57,11,46,19.3,1.03,6.13,0.27,41.47,C,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.02, TP:0.12, TS:0.02",1h
351,MACD_Breakout,BNBUSDT,15m,10000,10464.5,464.5,4.64,4.64,4.64,42,9,33,21.43,1.03,8.63,0.48,48.1,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.02, TP:0.12, TS:0.02",15m
352,BB_VWAP_ADX,BNBUSDT,15m,10000,10459.03,459.03,4.59,4.59,4.59,68,13,55,19.12,1.02,6.93,0.31,52.19,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.015, TP:0.09, TS:0.015",15m
353,Volume_EMA_ADX,BNBUSDT,1h,10000,10427.24,427.24,4.27,4.27,4.27,117,22,95,18.8,1.02,4.64,0.16,47.7,C,Active,Historical_Parquet,364 days,2025-03-16,2026-03-16,0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
354,Breakout_Stochastic,BNBUSDT,15m,10000,10424.17,424.17,4.24,4.24,4.24,54,11,43,20.37,1.02,7.93,0.39,52.25,C,Active,Historical_Parquet,365 days,2025-03-16,2026-03-16,0.01%,"SL:0.018, TP:0.1, TS:0.018",15m
