Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,roi,ROI/annum,ROI_per_annum_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Performance_Grade,Deployment_Status,Data_Source,Time_period_checked,Time_start,time_end,fees_exchnage,Parameters,Candle_Period
879,EMA_Convergence_Pro,SOLUSDT,15m,10000,10702.44,702.44,7.02,7.02,7.02,8,2,6,25,1.78,4.4,1.09,C,Active,Historical_Parquet,10 days,07-03-2026,18-03-2026,0.10%,"SL:0.012, TP:0.08, TS:0.012",15m
880,Conservative_Growth,ETHUSDT,1h,10000,10700.06,700.06,7,7,7,252,50,202,19.84,1.02,3.84,0.2,C,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.10%,"SL:0.01, TP:0.07, TS:0.01",1h
881,BB_Stochastic_ADX_Trend,SOLUSDT,1h,10000,10700.17,700.17,7,7,7,21,5,16,23.81,1.19,5.19,0.56,C,Active,Historical_Parquet,41 days,04-02-2026,18-03-2026,0.10%,"SL:0.015, TP:0.09, TS:0.015",1h
882,Volume_EMA_ADX,XRPUSDT,1h,10000,10699.81,699.81,7,7,7,26,6,20,23.08,1.14,5.12,0.49,C,Active,Historical_Parquet,41 days,04-02-2026,18-03-2026,0.10%,"SL:0.015, TP:0.09, TS:0.015",1h
883,ADX_Strength_Pro,XRPUSDT,1h,10000,10698.94,698.94,6.99,6.99,6.99,30,7,23,23.33,1.12,5.38,0.47,C,Active,Historical_Parquet,41 days,04-02-2026,18-03-2026,0.10%,"SL:0.015, TP:0.09, TS:0.015",1h
884,Volume_Spike_Trend,XRPUSDT,1h,10000,10698.94,698.94,6.99,6.99,6.99,30,7,23,23.33,1.12,5.38,0.47,C,Active,Historical_Parquet,41 days,04-02-2026,18-03-2026,0.10%,"SL:0.015, TP:0.09, TS:0.015",1h
885,ADX_Volume_Trade,XRPUSDT,1h,10000,10698.94,698.94,6.99,6.99,6.99,30,7,23,23.33,1.12,5.38,0.47,C,Active,Historical_Parquet,41 days,04-02-2026,18-03-2026,0.10%,"SL:0.015, TP:0.09, TS:0.015",1h
886,Volume_EMA_Trade,XRPUSDT,1h,10000,10698.94,698.94,6.99,6.99,6.99,30,7,23,23.33,1.12,5.38,0.47,C,Active,Historical_Parquet,41 days,04-02-2026,18-03-2026,0.10%,"SL:0.015, TP:0.09, TS:0.015",1h
887,EMA_ADX_Pro,XRPUSDT,1h,10000,10698.94,698.94,6.99,6.99,6.99,30,7,23,23.33,1.12,5.38,0.47,C,Active,Historical_Parquet,41 days,04-02-2026,18-03-2026,0.10%,"SL:0.015, TP:0.09, TS:0.015",1h
888,MACD_Volume,XRPUSDT,1h,10000,10698.94,698.94,6.99,6.99,6.99,30,7,23,23.33,1.12,5.38,0.47,C,Active,Historical_Parquet,41 days,04-02-2026,18-03-2026,0.10%,"SL:0.015, TP:0.09, TS:0.015",1h
889,BB_VWAP_Strategy,XRPUSDT,15m,10000,10697.71,697.71,6.98,6.98,6.98,14,3,11,21.43,1.5,3.53,0.67,C,Active,Historical_Parquet,10 days,07-03-2026,18-03-2026,0.10%,"SL:0.01, TP:0.07, TS:0.01",15m
890,BB_EMA_Pro,XRPUSDT,15m,10000,10697.71,697.71,6.98,6.98,6.98,14,3,11,21.43,1.5,3.53,0.67,C,Active,Historical_Parquet,10 days,07-03-2026,18-03-2026,0.10%,"SL:0.01, TP:0.07, TS:0.01",15m
891,VWAP_Stochastic,XRPUSDT,15m,10000,10697.71,697.71,6.98,6.98,6.98,14,3,11,21.43,1.5,3.53,0.67,C,Active,Historical_Parquet,10 days,07-03-2026,18-03-2026,0.10%,"SL:0.01, TP:0.07, TS:0.01",15m
892,Stochastic_Pro_Trade,BNBUSDT,1h,10000,10695.16,695.16,6.95,6.95,6.95,113,23,90,20.35,1.03,4.74,0.26,C,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.10%,"SL:0.015, TP:0.09, TS:0.015",1h
893,Stochastic_Trend_MACD,BNBUSDT,1h,10000,10688.42,688.42,6.88,6.88,6.88,89,17,72,19.1,1.04,4.61,0.28,C,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.10%,"SL:0.015, TP:0.09, TS:0.015",1h
894,Breakout_Multi_Signal,BNBUSDT,4h,10000,10686.39,686.39,6.86,6.86,6.86,32,7,25,21.88,1.07,6.9,0.53,C,Active,Historical_Parquet,364 days,16-03-2025,16-03-2026,0.10%,"SL:0.02, TP:0.12, TS:0.02",4h
895,VWAP_BB_Stochastic_EMA,SOLUSDT,15m,10000,10683.38,683.38,6.83,6.83,6.83,8,2,6,25,1.68,4.68,1.07,C,Active,Historical_Parquet,10 days,07-03-2026,18-03-2026,0.10%,"SL:0.015, TP:0.09, TS:0.015",15m
