Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,roi,ROI/annum,ROI_per_annum_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Max_Drawdown,Performance_Grade,Deployment_Status,Data_Source,Time_period_checked,Time_start,time_end,fees_exchnage,Parameters,Candle_Period
559,MACD_Breakout,ADAUSDT,4h,10000,6805.56,-3194.44,-31.94,-31.94,-31.94,52,14,38,26.92,0.55,4.11,-0.68,43.34,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.02, TP:0.12, TS:0.02",4h
560,Conservative_Growth,ADAUSDT,4h,10000,6801.75,-3198.25,-31.98,-31.98,-31.98,83,17,66,20.48,0.63,2.89,-0.43,41.61,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
561,BB_Stochastic_Pro,ADAUSDT,4h,10000,6798.58,-3201.42,-32.01,-32.01,-32.01,94,30,64,31.91,0.7,3.99,-0.34,46.28,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
562,ADX_BB_Combo,ADAUSDT,4h,10000,6780.03,-3219.97,-32.2,-32.2,-32.2,168,57,111,33.93,0.8,3.69,-0.16,45.59,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
563,ADX_Volatility_Trade,ADAUSDT,4h,10000,6780.03,-3219.97,-32.2,-32.2,-32.2,168,57,111,33.93,0.8,3.69,-0.16,45.59,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
564,EMA_Convergence,ADAUSDT,4h,10000,6778.14,-3221.86,-32.22,-32.22,-32.22,96,19,77,19.79,0.67,2.95,-0.37,41.47,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
565,RSI_Recovery,ADAUSDT,4h,10000,6773.34,-3226.66,-32.27,-32.27,-32.27,147,41,106,27.89,0.79,3.67,-0.2,44.28,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
566,Breakout_Volume_ADX,ADAUSDT,4h,10000,6756.99,-3243.01,-32.43,-32.43,-32.43,43,10,33,23.26,0.5,4.19,-0.86,41.33,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.02, TP:0.12, TS:0.02",4h
567,BB_VWAP_ADX,ADAUSDT,1h,10000,6682.28,-3317.72,-33.18,-33.18,-33.18,75,16,59,21.33,0.55,2.82,-0.51,36.5,C,Inactive,Historical_Parquet,41 days,2026-02-03,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",1h
568,Trend_Pullback_Entry,ADAUSDT,4h,10000,6666.66,-3333.34,-33.33,-33.33,-33.33,134,35,99,26.12,0.76,2.93,-0.26,42.42,C,Inactive,Historical_Parquet,166 days,2025-10-01,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.008, TP:0.06, TS:0.008",4h
