Rank,name,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,ROI_per_annum,ROI_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Gross_DD_Percent,Net_DD_Percent,Capital_At_Net_DD,Performance_Grade,Deployment_Status,Score,Data_Source,Time_Period,Time_Start,Time_End,Fees_Exchange,Candle_Period,Parameters
19,Breakout_Confirmation,"Breakout_20, Supertrend, MACD_Cross",ETHUSDT,1h,10000,101114.37,91114.37,45.08,911.14,1100,273,827,24.82,1.04,2.66,0.4945,78.43,2.55,9745.13,B,Active,382.27,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=2.0%, TP=10.0%, TS=2.0%"
20,Volume_All_Confirm,"Volume_Spike, EMA_Cross, MACD_Cross, ADX_Trend, Supertrend, VWAP",BNBUSDT,1h,10000,91809.11,81809.11,42.84,818.09,622,119,503,19.13,1.1,2.41,0.7264,75.15,2.1,9790.2,B,Active,343.96,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=5.0%, TP=15.0%, TS=2.0%"
21,Breakout_EMA_ADX_VWAP,"Breakout_20, EMA_Cross, ADX_Trend, VWAP, Volume_Spike",BNBUSDT,1h,10000,91305.3,81305.3,42.72,813.05,614,123,491,20.03,1.09,2.4,0.7291,78.8,0.0,10000.0,B,Active,342.13,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=5.0%, TP=15.0%, TS=2.0%"
22,Stochastic_Trend_MACD,"Stochastic, Trend_MA50, MACD_Cross, EMA_Cross, ADX_Trend",ETHUSDT,1h,10000,89436.34,79436.34,42.24,794.36,802,249,553,31.05,1.06,2.74,0.514,62.53,0.0,10000.0,B,Active,337.67,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=2.5%, TP=15.0%, TS=2.5%"
23,Stochastic_Trend_MACD,"Stochastic, Trend_MA50, MACD_Cross, EMA_Cross, ADX_Trend",BNBUSDT,1h,10000,88522.59,78522.59,42.01,785.23,834,273,561,32.73,1.07,2.8,0.4892,67.99,0.55,9944.8,B,Active,334.58,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=2.5%, TP=15.0%, TS=2.5%"
24,Volume_All_Confirm,"Volume_Spike, EMA_Cross, MACD_Cross, ADX_Trend, Supertrend, VWAP",SOLUSDT,1h,10000,69521.65,59521.65,41.34,595.22,994,182,812,18.31,1.03,2.32,0.5635,81.58,59.75,4024.82,B,Active,253.91,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,1h,"SL=5.0%, TP=15.0%, TS=2.0%"
25,Breakout_EMA_ADX_VWAP,"Breakout_20, EMA_Cross, ADX_Trend, VWAP, Volume_Spike",SOLUSDT,1h,10000,68911.28,58911.28,41.12,589.11,985,199,786,20.2,1.04,2.33,0.5386,70.73,59.45,4054.83,B,Active,252.1,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,1h,"SL=5.0%, TP=15.0%, TS=2.0%"
26,Volume_Confirm,"Volume_Spike, Breakout_20, Supertrend, ADX_Trend",ETHUSDT,1h,10000,84754.62,74754.62,41.02,747.55,827,258,569,31.2,1.04,2.44,0.6056,76.54,28.77,7122.62,B,Active,318.76,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=4.0%, TP=10.0%, TS=3.0%"
27,Supertrend_BB_Entry,"Supertrend, BB_Lower, EMA_Cross, MACD_Cross, RSI_Oversold",BNBUSDT,1h,10000,79172.11,69172.11,39.48,691.72,358,66,292,18.44,1.21,2.47,0.9412,53.95,1.66,9833.84,B,Active,294.35,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=3.0%, TP=15.0%, TS=1.5%"
28,EMA_Break_Momentum,"EMA_Cross, Breakout_20, MACD_Cross, ADX_Trend",ETHUSDT,1h,10000,76627.15,66627.15,38.75,666.27,1102,365,737,33.12,1.05,2.76,0.3965,72.78,0.0,10000.0,B,Active,286.9,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=3.0%, TP=15.0%, TS=2.5%"
29,Volume_All_Confirm,"Volume_Spike, EMA_Cross, MACD_Cross, ADX_Trend, Supertrend, VWAP",ETHUSDT,1h,10000,75382.82,65382.82,38.39,653.83,589,114,475,19.35,1.04,2.3,0.7108,82.31,2.4,9760.44,B,Active,277.73,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=5.0%, TP=15.0%, TS=2.0%"
30,MACD_Trend_Strength,"MACD_Cross, Trend_MA50, ADX_Trend, EMA_Cross, Volume_Spike",ETHUSDT,1h,10000,73780.43,63780.43,37.91,637.8,875,274,601,31.31,1.05,2.63,0.4617,72.07,0.0,10000.0,B,Active,275.06,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=3.0%, TP=15.0%, TS=2.5%"
31,Ultimate_Entry,"EMA_Cross, MACD_Cross, RSI_Oversold, Supertrend, ADX_Trend, VWAP, Trend_MA50, Volume_Spike",ETHUSDT,1h,10000,68021.53,58021.53,36.12,580.22,554,105,449,18.95,1.04,2.25,0.7083,80.28,0.0,10000.0,B,Active,248.16,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=3.0%, TP=15.0%, TS=2.0%"
32,Volume_Trend_ADX,"Volume_Spike, Trend_MA50, ADX_Trend, EMA_Cross, MACD_Cross",ETHUSDT,1h,10000,64792.47,54792.47,35.06,547.92,848,275,573,32.43,1.05,2.51,0.4605,70.9,0.0,10000.0,B,Active,239.43,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=4.0%, TP=15.0%, TS=3.0%"
33,Breakout_Multi_Signal,"Breakout_20, Volume_Spike, EMA_Cross, MACD_Cross, Supertrend",BNBUSDT,1h,10000,64415.01,54415.01,34.93,544.15,376,83,293,22.07,1.07,2.18,0.9182,77.72,2.52,9747.6,B,Active,235.01,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=2.5%, TP=15.0%, TS=2.5%"
34,Volume_Confirm,"Volume_Spike, Breakout_20, Supertrend, ADX_Trend",BNBUSDT,1h,10000,63003.24,53003.24,34.45,530.03,788,248,540,31.47,1.04,2.27,0.5935,75.52,36.89,6311.15,B,Active,231.88,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=4.0%, TP=10.0%, TS=3.0%"
35,Breakout_Confirmation,"Breakout_20, Supertrend, MACD_Cross",BNBUSDT,1h,10000,61863.43,51863.43,34.06,518.63,1063,271,792,25.49,1.04,2.39,0.4663,70.95,24.02,7597.57,B,Active,225.53,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=2.0%, TP=10.0%, TS=2.5%"
36,Breakout_Confirmation,"Breakout_20, Supertrend, MACD_Cross",BNBUSDT,1h,10000,61863.43,51863.43,34.06,518.63,1063,271,792,25.49,1.04,2.39,0.4663,70.95,24.02,7597.57,B,Active,225.53,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=2.0%, TP=10.0%, TS=2.0%"
37,MACD_Trend_Strength,"MACD_Cross, Trend_MA50, ADX_Trend, EMA_Cross, Volume_Spike",SOLUSDT,1h,10000,48292.15,38292.15,32.44,382.92,1051,304,747,28.92,1.04,2.21,0.4538,76.56,52.02,4797.83,B,Active,172.25,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,1h,"SL=3.0%, TP=15.0%, TS=2.5%"
38,High_Momentum_Entry,"EMA_Cross, MACD_Cross, Volume_Spike, ADX_Trend, Breakout_20",SOLUSDT,1h,10000,46612.56,36612.56,31.61,366.13,778,197,581,25.32,1.11,2.21,0.4551,59.13,59.13,4086.54,B,Active,165.11,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,1h,"SL=1.5%, TP=15.0%, TS=1.5%"
39,Breakout_ADX_Pro,"Breakout_20, ADX_Trend, Volume_Spike, EMA_Cross, MACD_Cross",SOLUSDT,1h,10000,46612.56,36612.56,31.61,366.13,778,197,581,25.32,1.11,2.21,0.4551,59.13,59.13,4086.54,B,Active,165.11,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,1h,"SL=1.5%, TP=15.0%, TS=1.5%"
40,MACD_Trend_Strength,"MACD_Cross, Trend_MA50, ADX_Trend, EMA_Cross, Volume_Spike",BNBUSDT,1h,10000,52395.89,42395.89,30.52,423.96,915,292,623,31.91,1.04,2.45,0.3992,80.22,0.55,9944.8,B,Active,189.59,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=3.0%, TP=15.0%, TS=2.5%"
41,Aggressive_Growth,"EMA_Cross, MACD_Cross, Volume_Spike, Breakout_20, ADX_Trend, VWAP",ETHUSDT,1h,10000,52191.94,42191.94,30.44,421.92,481,122,359,25.36,1.03,2.04,0.7617,85.46,0.0,10000.0,B,Active,186.69,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=4.0%, TP=15.0%, TS=3.0%"
42,Supertrend_BB_Entry,"Supertrend, BB_Lower, EMA_Cross, MACD_Cross, RSI_Oversold",SOLUSDT,1h,10000,43605.07,33605.07,30.05,336.05,526,85,441,16.16,1.09,2.0,0.6095,58.56,28.32,7167.84,B,Active,150.21,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,1h,"SL=3.0%, TP=15.0%, TS=1.5%"
43,Ultimate_Entry,"EMA_Cross, MACD_Cross, RSI_Oversold, Supertrend, ADX_Trend, VWAP, Trend_MA50, Volume_Spike",BTCUSDT,1h,10000,48694.88,38694.88,28.99,386.95,361,69,292,19.11,1.13,2.08,0.7987,67.67,2.31,9768.55,B,Active,171.82,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=3.0%, TP=15.0%, TS=2.0%"
44,Supertrend_BB_Entry,"Supertrend, BB_Lower, EMA_Cross, MACD_Cross, RSI_Oversold",ADAUSDT,1h,10000,48096.98,38096.98,28.74,380.97,513,81,432,15.79,1.09,2.06,0.6385,65.26,0.0,10000.0,B,Active,168.03,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=3.0%, TP=15.0%, TS=1.5%"
45,Aggressive_Growth,"EMA_Cross, MACD_Cross, Volume_Spike, Breakout_20, ADX_Trend, VWAP",BTCUSDT,1h,10000,47718.53,37718.53,28.57,377.19,363,93,270,25.62,1.12,2.03,0.8137,70.99,0.12,9988.01,B,Active,169.72,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=4.0%, TP=15.0%, TS=3.0%"
46,Breakout_Cluster,"Breakout_20, Volume_Spike, EMA_Cross, MACD_Cross",BTCUSDT,1h,10000,46457.0,36457.0,28.02,364.57,947,298,649,31.47,1.1,2.97,0.3208,51.05,0.12,9988.01,B,Active,166.25,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=2.0%, TP=15.0%, TS=2.5%"
47,Volume_Trend_ADX,"Volume_Spike, Trend_MA50, ADX_Trend, EMA_Cross, MACD_Cross",SOLUSDT,1h,10000,39588.82,29588.82,27.83,295.89,1002,299,703,29.84,1.04,2.09,0.4536,70.71,60.24,3976.33,B,Active,137.72,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,1h,"SL=4.0%, TP=15.0%, TS=3.0%"
48,Breakout_EMA_ADX_VWAP,"Breakout_20, EMA_Cross, ADX_Trend, VWAP, Volume_Spike",ETHUSDT,1h,10000,43610.91,33610.91,26.73,336.11,580,116,464,20.0,1.03,2.0,0.5944,81.81,2.4,9760.44,B,Active,150.72,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=5.0%, TP=15.0%, TS=2.0%"
49,Ultimate_Entry,"EMA_Cross, MACD_Cross, RSI_Oversold, Supertrend, ADX_Trend, VWAP, Trend_MA50, Volume_Spike",BNBUSDT,1h,10000,43560.7,33560.7,26.7,335.61,560,102,458,18.21,1.07,1.97,0.6232,86.99,4.37,9563.17,B,Active,150.4,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=3.0%, TP=15.0%, TS=2.0%"
50,Trend_All_Confirm,"Trend_MA50, EMA_Cross, ADX_Trend, Supertrend, MACD_Cross",XRPUSDT,1h,10000,40907.94,30907.94,25.43,309.08,617,140,477,22.69,1.03,1.93,0.6972,82.15,11.48,8852.09,B,Active,140.76,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=5.0%, TP=15.0%, TS=3.0%"
51,Breakout_Cluster,"Breakout_20, Volume_Spike, EMA_Cross, MACD_Cross",SOLUSDT,1h,10000,33855.36,23855.36,24.31,238.55,994,297,697,29.88,1.07,2.1,0.3587,55.69,43.01,5699.26,B,Active,115.05,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,1h,"SL=2.0%, TP=15.0%, TS=2.5%"
52,Breakout_Multi_Signal,"Breakout_20, Volume_Spike, EMA_Cross, MACD_Cross, Supertrend",BTCUSDT,1h,10000,38638.99,28638.99,24.28,286.39,275,59,216,21.45,1.09,1.89,0.8878,72.24,3.4,9660.41,B,Active,131.92,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=2.5%, TP=15.0%, TS=2.5%"
53,Volume_Trend_ADX,"Volume_Spike, Trend_MA50, ADX_Trend, EMA_Cross, MACD_Cross",BNBUSDT,1h,10000,36701.73,26701.73,23.26,267.02,890,291,599,32.7,1.04,2.17,0.3691,80.31,0.55,9944.8,B,Active,126.99,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=4.0%, TP=15.0%, TS=3.0%"
54,High_Momentum_Entry,"EMA_Cross, MACD_Cross, Volume_Spike, ADX_Trend, Breakout_20",DOTUSDT,1h,10000,31913.65,21913.65,23.09,219.14,693,184,509,26.55,1.06,2.0,0.3982,60.9,5.52,9448.03,B,Active,106.23,Binance Spot,2020-08-18 to 2026-03-20,2020-08-18,2026-03-20,0.1%,1h,"SL=1.5%, TP=15.0%, TS=1.5%"
55,Breakout_ADX_Pro,"Breakout_20, ADX_Trend, Volume_Spike, EMA_Cross, MACD_Cross",DOTUSDT,1h,10000,31913.65,21913.65,23.09,219.14,693,184,509,26.55,1.06,2.0,0.3982,60.9,5.52,9448.03,B,Active,106.23,Binance Spot,2020-08-18 to 2026-03-20,2020-08-18,2026-03-20,0.1%,1h,"SL=1.5%, TP=15.0%, TS=1.5%"
56,EMA_Break_Momentum,"EMA_Cross, Breakout_20, MACD_Cross, ADX_Trend",LINKUSDT,1h,10000,36384.68,26384.68,23.09,263.85,1300,400,900,30.77,1.01,2.21,0.3462,87.76,3.01,9699.14,B,Active,124.9,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=3.0%, TP=15.0%, TS=2.5%"
57,Golden_Cross_Pro,"EMA_Cross, MACD_Cross, ADX_Trend, Trend_MA50",SOLUSDT,1h,10000,31790.27,21790.27,22.92,217.9,1541,410,1131,26.61,1.02,2.21,0.3389,90.71,58.0,4200.16,B,Active,105.37,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,1h,"SL=2.0%, TP=15.0%, TS=2.0%"
58,Ultimate_Entry,"EMA_Cross, MACD_Cross, RSI_Oversold, Supertrend, ADX_Trend, VWAP, Trend_MA50, Volume_Spike",SOLUSDT,1h,10000,31364.85,21364.85,22.63,213.65,837,148,689,17.68,1.02,1.9,0.4958,79.93,45.99,5401.34,B,Active,100.97,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,1h,"SL=3.0%, TP=15.0%, TS=2.0%"
59,Golden_Cross_Pro,"EMA_Cross, MACD_Cross, ADX_Trend, Trend_MA50",ETHUSDT,1h,10000,35424.42,25424.42,22.56,254.24,1274,370,904,29.04,1.02,2.3,0.3045,85.4,2.21,9779.21,B,Active,120.64,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=2.0%, TP=15.0%, TS=2.0%"
60,Trend_Follower_Multi,"EMA_Cross, MACD_Cross, ADX_Trend, Trend_MA50",ETHUSDT,1h,10000,35089.47,25089.47,22.37,250.89,1370,369,1001,26.93,1.02,2.36,0.2867,85.1,2.21,9779.21,B,Active,118.67,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=1.5%, TP=15.0%, TS=1.5%"
61,Aggressive_Growth,"EMA_Cross, MACD_Cross, Volume_Spike, Breakout_20, ADX_Trend, VWAP",SOLUSDT,1h,10000,30743.41,20743.41,22.19,207.43,878,219,659,24.94,1.02,1.93,0.5368,81.73,74.09,2591.15,B,Active,100.66,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,1h,"SL=4.0%, TP=15.0%, TS=3.0%"
62,High_Profit_Trade,"EMA_Cross, MACD_Cross, ADX_Trend, Supertrend, VWAP, Trend_MA50",SOLUSDT,1h,10000,29040.39,19040.39,20.95,190.4,1423,174,1249,12.23,1.03,2.11,0.3487,88.03,45.2,5480.19,B,Active,90.09,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,1h,"SL=1.5%, TP=15.0%, TS=1.0%"
63,Golden_Cross_Pro,"EMA_Cross, MACD_Cross, ADX_Trend, Trend_MA50",BTCUSDT,1h,10000,30159.46,20159.46,19.43,201.59,1156,358,798,30.97,1.05,2.36,0.2667,62.44,10.22,8977.73,B,Active,100.48,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=2.0%, TP=15.0%, TS=2.0%"
64,Trend_All_Confirm,"Trend_MA50, EMA_Cross, ADX_Trend, Supertrend, MACD_Cross",BTCUSDT,1h,10000,29942.97,19942.97,19.29,199.43,312,74,238,23.72,1.1,1.65,0.7837,79.39,21.93,7807.41,B,Active,97.89,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=5.0%, TP=15.0%, TS=3.0%"
65,Supertrend_BB_Entry,"Supertrend, BB_Lower, EMA_Cross, MACD_Cross, RSI_Oversold",BTCUSDT,1h,10000,28491.4,18491.4,18.34,184.91,314,49,265,15.61,1.13,1.74,0.6371,64.74,14.57,8542.5,B,Active,89.97,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=3.0%, TP=15.0%, TS=1.5%"
66,High_Profit_Trade,"EMA_Cross, MACD_Cross, ADX_Trend, Supertrend, VWAP, Trend_MA50",BTCUSDT,1h,10000,27812.84,17812.84,17.88,178.13,612,72,540,11.76,1.08,1.82,0.4176,72.27,1.74,9826.4,B,Active,85.53,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=1.5%, TP=15.0%, TS=1.0%"
67,Volume_All_Confirm,"Volume_Spike, EMA_Cross, MACD_Cross, ADX_Trend, Supertrend, VWAP",BTCUSDT,1h,10000,27718.38,17718.38,17.82,177.18,414,75,339,18.12,1.06,1.66,0.5877,81.7,2.31,9768.55,B,Active,86.91,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,1h,"SL=5.0%, TP=15.0%, TS=2.0%"
