Rank,name,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,ROI_per_annum,ROI_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Gross_DD_Percent,Net_DD_Percent,Capital_At_Net_DD,Performance_Grade,Deployment_Status,Score,Data_Source,Time_Period,Time_Start,Time_End,Fees_Exchange,Candle_Period,Parameters
100,EMA_Break_Momentum,"EMA_Cross, Breakout_20, MACD_Cross, ADX_Trend",BTCUSDT,4h,10000,27040.84,17040.84,17.35,170.41,374,107,267,28.61,1.08,1.72,0.5479,57.59,12.06,8793.62,B,Active,87.55,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=2.0%, TP=15.0%, TS=2.5%"
101,Breakout_Volume_Pro,"Breakout_20, Volume_Spike, EMA_Cross",XRPUSDT,4h,10000,26281.45,16281.45,16.81,162.81,861,262,599,30.43,1.03,1.82,0.3855,81.28,0.55,9945.49,B,Active,84.59,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=3.0%, TP=15.0%, TS=1.5%"
102,EMA_Breakout_Pro,"EMA_Cross, Breakout_20, Volume_Spike",XRPUSDT,4h,10000,26281.45,16281.45,16.81,162.81,861,262,599,30.43,1.03,1.82,0.3855,81.28,0.55,9945.49,B,Active,84.59,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=5.0%, TP=15.0%, TS=1.5%"
103,Breakout_Cluster,"Breakout_20, Volume_Spike, EMA_Cross, MACD_Cross",AVAXUSDT,4h,10000,23255.59,13255.59,16.62,132.56,346,73,273,21.1,1.07,1.49,0.6268,55.2,50.21,4979.01,B,Active,70.06,Binance Spot,2020-09-22 to 2026-03-20,2020-09-22,2026-03-20,0.1%,4h,"SL=2.5%, TP=15.0%, TS=1.5%"
104,Breakout_Cluster,"Breakout_20, Volume_Spike, EMA_Cross, MACD_Cross",BTCUSDT,4h,10000,25873.08,15873.08,16.52,158.73,301,94,207,31.23,1.16,1.82,0.5598,40.2,1.92,9807.95,B,Active,86.42,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=2.5%, TP=15.0%, TS=1.5%"
105,Breakout_Volume_Pro,"Breakout_20, Volume_Spike, EMA_Cross",AVAXUSDT,4h,10000,23006.89,13006.89,16.39,130.07,884,239,645,27.04,1.05,1.75,0.3974,76.65,61.67,3833.11,B,Active,70.67,Binance Spot,2020-09-22 to 2026-03-20,2020-09-22,2026-03-20,0.1%,4h,"SL=3.0%, TP=15.0%, TS=1.5%"
106,EMA_Breakout_Pro,"EMA_Cross, Breakout_20, Volume_Spike",AVAXUSDT,4h,10000,23006.89,13006.89,16.39,130.07,884,239,645,27.04,1.05,1.75,0.3974,76.65,61.67,3833.11,B,Active,70.67,Binance Spot,2020-09-22 to 2026-03-20,2020-09-22,2026-03-20,0.1%,4h,"SL=5.0%, TP=15.0%, TS=1.5%"
107,Breakout_Volume_Pro,"Breakout_20, Volume_Spike, EMA_Cross",ADAUSDT,4h,10000,24535.59,14535.59,15.53,145.36,963,263,700,27.31,1.02,1.85,0.3558,83.37,0.12,9987.63,B,Active,76.5,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=3.0%, TP=15.0%, TS=1.5%"
108,EMA_Breakout_Pro,"EMA_Cross, Breakout_20, Volume_Spike",ADAUSDT,4h,10000,24535.59,14535.59,15.53,145.36,963,263,700,27.31,1.02,1.85,0.3558,83.37,0.12,9987.63,B,Active,76.5,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=5.0%, TP=15.0%, TS=1.5%"
109,ADX_Volume_Break,"ADX_Trend, Volume_Spike, Breakout_20, EMA_Cross",SOLUSDT,4h,10000,22413.16,12413.16,15.49,124.13,804,163,641,20.27,1.04,1.7,0.4416,72.97,62.57,3742.51,B,Active,66.16,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,4h,"SL=2.5%, TP=15.0%, TS=1.0%"
110,Ultimate_Entry,"EMA_Cross, MACD_Cross, RSI_Oversold, Supertrend, ADX_Trend, VWAP, Trend_MA50, Volume_Spike",ETHUSDT,4h,10000,24450.82,14450.82,15.46,144.51,665,251,414,37.74,1.04,1.87,0.3529,65.48,2.64,9736.44,B,Active,79.51,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=2.0%, TP=5.0%, TS=2.5%"
111,Breakout_Volume_Pro,"Breakout_20, Volume_Spike, EMA_Cross",ETHUSDT,4h,10000,24127.61,14127.61,15.22,141.28,802,259,543,32.29,1.05,1.85,0.3294,54.35,0.9,9910.32,B,Active,76.7,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=3.0%, TP=15.0%, TS=1.5%"
112,EMA_Breakout_Pro,"EMA_Cross, Breakout_20, Volume_Spike",ETHUSDT,4h,10000,24127.61,14127.61,15.22,141.28,802,259,543,32.29,1.05,1.85,0.3294,54.35,0.9,9910.32,B,Active,76.7,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=5.0%, TP=15.0%, TS=1.5%"
113,ADX_Volume_Break,"ADX_Trend, Volume_Spike, Breakout_20, EMA_Cross",AVAXUSDT,4h,10000,21533.39,11533.39,15.0,115.33,753,144,609,19.12,1.03,1.65,0.4423,76.9,37.99,6201.37,B,Active,62.18,Binance Spot,2020-09-22 to 2026-03-20,2020-09-22,2026-03-20,0.1%,4h,"SL=2.5%, TP=15.0%, TS=1.0%"
114,Breakout_Cluster,"Breakout_20, Volume_Spike, EMA_Cross, MACD_Cross",LTCUSDT,4h,10000,23598.63,13598.63,14.81,135.99,336,86,250,25.6,1.08,1.56,0.5692,47.36,6.19,9380.55,B,Active,73.4,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=2.5%, TP=15.0%, TS=1.5%"
115,Volume_EMA_Stochastic_ADX,"Volume_Spike, EMA_Cross, Stochastic, ADX_Trend, Trend_MA50",LTCUSDT,4h,10000,22876.38,12876.38,14.24,128.76,536,105,431,19.59,1.04,1.6,0.4485,64.02,11.42,8857.83,B,Active,67.8,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=1.0%, TP=15.0%, TS=1.0%"
116,Breakout_VWAP,"Breakout_20, VWAP, Volume_Spike, MACD_Cross",DOTUSDT,4h,10000,20671.07,10671.07,13.88,106.71,198,50,148,25.25,1.13,1.37,0.7385,53.23,17.32,8267.57,B,Active,61.6,Binance Spot,2020-08-18 to 2026-03-20,2020-08-18,2026-03-20,0.1%,4h,"SL=1.5%, TP=15.0%, TS=2.5%"
117,Breakout_Hunter,"Breakout_20, Volume_Spike, MACD_Cross, Supertrend",BTCUSDT,4h,10000,21465.63,11465.63,13.07,114.66,360,51,309,14.17,1.09,1.48,0.5143,72.99,7.51,9249.06,B,Active,61.0,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=4.0%, TP=15.0%, TS=1.0%"
118,Aggressive_Growth,"EMA_Cross, MACD_Cross, Volume_Spike, Breakout_20, ADX_Trend, VWAP",ADAUSDT,4h,10000,21066.59,11066.59,12.73,110.67,626,139,487,22.2,1.02,1.6,0.4223,83.05,0.12,9987.63,B,Active,61.08,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=2.0%, TP=10.0%, TS=1.5%"
119,Ultimate_Entry,"EMA_Cross, MACD_Cross, RSI_Oversold, Supertrend, ADX_Trend, VWAP, Trend_MA50, Volume_Spike",LTCUSDT,4h,10000,20488.54,10488.54,12.23,104.89,475,179,296,37.68,1.03,1.61,0.3899,66.95,0.91,9908.81,B,Active,63.57,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=2.0%, TP=5.0%, TS=2.5%"
120,High_Profit_Trade,"EMA_Cross, MACD_Cross, ADX_Trend, Supertrend, VWAP, Trend_MA50",BTCUSDT,4h,10000,20362.85,10362.85,12.12,103.63,213,51,162,23.94,1.06,1.32,0.796,76.97,1.92,9807.95,B,Active,59.21,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=4.0%, TP=15.0%, TS=3.0%"
121,EMA_Break_Momentum,"EMA_Cross, Breakout_20, MACD_Cross, ADX_Trend",XRPUSDT,4h,10000,20137.41,10137.41,11.92,101.37,537,139,398,25.88,1.02,1.49,0.4863,78.63,0.55,9945.49,B,Active,58.5,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=2.0%, TP=15.0%, TS=2.5%"
122,Stochastic_Trend_MACD,"Stochastic, Trend_MA50, MACD_Cross, EMA_Cross, ADX_Trend",SOLUSDT,4h,10000,18632.26,8632.26,11.74,86.32,725,147,578,20.28,1.04,1.58,0.368,66.64,62.12,3788.27,B,Active,50.96,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,4h,"SL=2.5%, TP=10.0%, TS=1.0%"
123,MACD_Trend_Strength,"MACD_Cross, Trend_MA50, ADX_Trend, EMA_Cross, Volume_Spike",LINKUSDT,4h,10000,19399.97,9399.97,11.25,94.0,563,162,401,28.77,1.02,1.52,0.4508,74.32,0.33,9967.21,B,Active,56.39,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=3.0%, TP=10.0%, TS=2.5%"
124,Aggressive_Entry,"Breakout_20, Volume_Spike, MACD_Cross, ADX_Trend",ADAUSDT,4h,10000,18925.78,8925.78,10.8,89.26,621,132,489,21.26,1.03,1.53,0.358,77.14,1.95,9804.79,B,Active,52.43,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=4.0%, TP=15.0%, TS=0.5%"
125,Breakout_Volume_ADX,"Breakout_20, Volume_Spike, ADX_Trend, Supertrend, VWAP",BNBUSDT,4h,10000,18824.42,8824.42,10.71,88.24,529,102,427,19.28,1.03,1.48,0.5349,83.22,16.96,8303.65,B,Active,51.4,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=1.5%, TP=15.0%, TS=2.5%"
126,MACD_Breakout,"MACD_Cross, Breakout_20, Volume_Spike, ADX_Trend",ADAUSDT,4h,10000,18712.38,8712.38,10.6,87.12,555,155,400,27.93,1.03,1.47,0.4099,76.83,4.37,9562.86,B,Active,53.55,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=4.0%, TP=15.0%, TS=1.5%"
127,ADX_Volume_Break,"ADX_Trend, Volume_Spike, Breakout_20, EMA_Cross",XRPUSDT,4h,10000,18620.25,8620.25,10.52,86.2,702,150,552,21.37,1.02,1.53,0.4007,83.74,0.0,10000.0,B,Active,51.09,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=2.5%, TP=15.0%, TS=1.0%"
128,VWAP_Momentum_Pro,"VWAP, EMA_Cross, MACD_Cross, Volume_Spike",LINKUSDT,4h,10000,18347.47,8347.47,10.25,83.47,687,202,485,29.4,1.01,1.57,0.4408,78.7,0.33,9967.21,B,Active,52.33,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=3.0%, TP=10.0%, TS=2.5%"
129,Volume_EMA_Stochastic_ADX,"Volume_Spike, EMA_Cross, Stochastic, ADX_Trend, Trend_MA50",DOTUSDT,4h,10000,17201.15,7201.15,10.2,72.01,523,92,431,17.59,1.02,1.39,0.4204,75.46,0.0,10000.0,B,Active,44.28,Binance Spot,2020-08-18 to 2026-03-20,2020-08-18,2026-03-20,0.1%,4h,"SL=1.0%, TP=15.0%, TS=1.0%"
130,Breakout_Thermo,"Breakout_20, Volume_Spike, ADX_Trend, Trend_MA50",AVAXUSDT,4h,10000,16632.72,6632.72,9.71,66.33,773,149,624,19.28,1.02,1.53,0.4042,79.85,17.86,8213.89,B,Active,42.5,Binance Spot,2020-09-22 to 2026-03-20,2020-09-22,2026-03-20,0.1%,4h,"SL=1.0%, TP=15.0%, TS=3.0%"
131,MACD_Breakout,"MACD_Cross, Breakout_20, Volume_Spike, ADX_Trend",XRPUSDT,4h,10000,17421.16,7421.16,9.34,74.21,497,153,344,30.78,1.05,1.38,0.3989,67.18,9.32,9068.39,B,Active,49.44,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=4.0%, TP=15.0%, TS=1.5%"
132,Volume_Trend_ADX,"Volume_Spike, Trend_MA50, ADX_Trend, EMA_Cross, MACD_Cross",XRPUSDT,4h,10000,16199.01,6199.01,8.07,61.99,402,100,302,24.88,1.02,1.29,0.5738,81.94,0.55,9945.49,B,Active,42.41,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=3.0%, TP=15.0%, TS=2.5%"
133,MACD_Breakout,"MACD_Cross, Breakout_20, Volume_Spike, ADX_Trend",BTCUSDT,4h,10000,15094.8,5094.8,6.85,50.95,443,156,287,35.21,1.05,1.32,0.3008,65.91,17.41,8259.44,B,Active,41.49,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=4.0%, TP=15.0%, TS=1.5%"
134,Volume_Stochastic_MACD_ADX,"Volume_Spike, Stochastic, MACD_Cross, ADX_Trend, Trend_MA50, Supertrend",LTCUSDT,4h,10000,14837.5,4837.5,6.55,48.38,247,49,198,19.84,1.04,1.09,0.5644,58.03,3.37,9663.34,B,Active,35.68,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=4.0%, TP=15.0%, TS=2.0%"
135,MACD_Breakout,"MACD_Cross, Breakout_20, Volume_Spike, ADX_Trend",LTCUSDT,4h,10000,14643.62,4643.62,6.33,46.44,480,161,319,33.54,1.04,1.27,0.3265,44.23,18.3,8169.85,B,Active,40.21,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=4.0%, TP=15.0%, TS=1.5%"
136,Breakout_VWAP,"Breakout_20, VWAP, Volume_Spike, MACD_Cross",BTCUSDT,4h,10000,14487.38,4487.38,6.14,44.87,286,53,233,18.53,1.04,1.09,0.4542,81.94,25.51,7448.67,B,Active,33.9,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=1.5%, TP=15.0%, TS=2.5%"
137,Ultimate_Entry,"EMA_Cross, MACD_Cross, RSI_Oversold, Supertrend, ADX_Trend, VWAP, Trend_MA50, Volume_Spike",SOLUSDT,4h,10000,13902.15,3902.15,6.05,39.02,763,275,488,36.04,1.02,1.43,0.2907,69.22,64.05,3595.22,B,Active,36.59,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,4h,"SL=2.0%, TP=5.0%, TS=2.5%"
138,MACD_Trend_Strength,"MACD_Cross, Trend_MA50, ADX_Trend, EMA_Cross, Volume_Spike",DOTUSDT,4h,10000,13829.44,3829.44,5.98,38.29,466,128,338,27.47,1.01,1.22,0.4049,79.3,5.89,9411.27,B,Active,33.68,Binance Spot,2020-08-18 to 2026-03-20,2020-08-18,2026-03-20,0.1%,4h,"SL=3.0%, TP=10.0%, TS=2.5%"
139,High_Profit_Trade,"EMA_Cross, MACD_Cross, ADX_Trend, Supertrend, VWAP, Trend_MA50",AVAXUSDT,4h,10000,13558.58,3558.58,5.7,35.59,435,104,331,23.91,1.01,1.28,0.6077,66.61,53.38,4661.59,B,Active,31.54,Binance Spot,2020-09-22 to 2026-03-20,2020-09-22,2026-03-20,0.1%,4h,"SL=4.0%, TP=15.0%, TS=3.0%"
140,Stochastic_Trend_MACD,"Stochastic, Trend_MA50, MACD_Cross, EMA_Cross, ADX_Trend",AVAXUSDT,4h,10000,13542.92,3542.92,5.68,35.43,685,135,550,19.71,1.01,1.35,0.3331,69.99,47.86,5214.35,B,Active,30.21,Binance Spot,2020-09-22 to 2026-03-20,2020-09-22,2026-03-20,0.1%,4h,"SL=2.5%, TP=10.0%, TS=1.0%"
141,High_Profit_Trade,"EMA_Cross, MACD_Cross, ADX_Trend, Supertrend, VWAP, Trend_MA50",DOTUSDT,4h,10000,13408.36,3408.36,5.39,34.08,342,79,263,23.1,1.01,1.15,0.6013,75.79,5.89,9411.27,B,Active,30.68,Binance Spot,2020-08-18 to 2026-03-20,2020-08-18,2026-03-20,0.1%,4h,"SL=4.0%, TP=15.0%, TS=3.0%"
