Rank,name,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,ROI_per_annum,ROI_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Gross_DD_Percent,Net_DD_Percent,Capital_At_Net_DD,Performance_Grade,Deployment_Status,Score,Data_Source,Time_Period,Time_Start,Time_End,Fees_Exchange,Candle_Period,Parameters
28,Volume_Weighted_Entry,"Volume_Spike, VWAP, EMA_Cross",BTCUSDT,4h,10000,61680.45,51680.45,33.99,516.8,371,99,272,26.68,1.15,2.19,0.8875,72.96,1.92,9807.95,B,Active,226.22,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=5.0%, TP=15.0%, TS=2.5%"
29,MACD_Divergence,"MACD_Cross, EMA_Cross, BB_Lower",SOLUSDT,4h,10000,51096.62,41096.62,33.78,410.97,1060,417,643,39.34,1.02,2.23,0.4707,81.42,24.39,7560.7,B,Active,186.44,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,4h,"SL=4.0%, TP=15.0%, TS=3.0%"
30,Volume_Surge_Entry,"Volume_Spike, EMA_Cross, RSI_Oversold",BNBUSDT,4h,10000,60772.49,50772.49,33.67,507.72,902,359,543,39.8,1.09,2.49,0.4333,58.98,1.54,9846.04,B,Active,225.91,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=5.0%, TP=15.0%, TS=3.0%"
31,Stochastic_Cross_Pro,"Stochastic, MACD_Cross, Trend_MA50",SOLUSDT,4h,10000,50655.32,40655.32,33.58,406.55,1386,446,940,32.18,1.03,2.36,0.3821,80.11,20.43,7957.44,B,Active,182.61,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,4h,"SL=5.0%, TP=15.0%, TS=1.5%"
32,Conservative_Growth,"EMA_Cross, ADX_Trend, Trend_MA50, VWAP",SOLUSDT,4h,10000,50585.58,40585.58,33.54,405.86,928,269,659,28.99,1.03,2.19,0.5546,88.06,50.28,4972.44,B,Active,181.32,Binance Spot,2020-08-11 to 2026-03-20,2020-08-11,2026-03-20,0.1%,4h,"SL=5.0%, TP=10.0%, TS=2.5%"
33,Trend_Follower_Multi,"EMA_Cross, MACD_Cross, ADX_Trend, Trend_MA50",ETHUSDT,4h,10000,60374.38,50374.38,33.53,503.74,489,137,352,28.02,1.08,2.22,0.7061,58.45,0.9,9910.32,B,Active,220.71,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=4.0%, TP=15.0%, TS=2.0%"
34,Momentum_Burst,"EMA_Cross, Volume_Spike, MACD_Cross",LINKUSDT,4h,10000,56140.32,46140.32,31.98,461.4,938,322,616,34.33,1.03,2.29,0.469,79.61,0.33,9967.21,B,Active,205.12,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=2.5%, TP=15.0%, TS=3.0%"
35,Golden_Cross_Pro,"EMA_Cross, MACD_Cross, ADX_Trend, Trend_MA50",ETHUSDT,4h,10000,54710.59,44710.59,31.43,447.11,801,318,483,39.7,1.06,2.54,0.4331,52.85,0.9,9910.32,B,Active,201.33,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=2.5%, TP=5.0%, TS=2.5%"
36,Trend_Line_Break,"Breakout_20, Supertrend, ADX_Trend",BTCUSDT,4h,10000,54130.98,44130.98,31.21,441.31,465,139,326,29.89,1.09,2.16,0.7191,72.8,22.33,7767.27,B,Active,196.37,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=5.0%, TP=10.0%, TS=2.5%"
37,EMA_Rainbow_Stack,"EMA_Cross, Trend_MA50, ADX_Trend, VWAP",ETHUSDT,4h,10000,52706.96,42706.96,30.65,427.07,571,186,385,32.57,1.03,2.11,0.6749,78.14,0.9,9910.32,B,Active,190.94,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=4.0%, TP=10.0%, TS=3.0%"
38,MACD_Divergence,"MACD_Cross, EMA_Cross, BB_Lower",LINKUSDT,4h,10000,50695.07,40695.07,29.83,406.95,1068,437,631,40.92,1.01,2.3,0.4187,88.03,0.33,9967.21,B,Active,185.19,Binance Spot,2019-12-31 to 2026-03-20,2019-12-31,2026-03-20,0.1%,4h,"SL=4.0%, TP=15.0%, TS=3.0%"
