Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,ROI/annum,ROI_Percent,ROI_per_annum%,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Data_Source,Paramters: Candle period
93,Trend_Strength,BTC/USDT,4h,10000,6782.92,-3217.08,-7073.7,-32.17,-70.74,24,3,21,12.5,Binance,4h
94,Supertrend,BTC/USDT,4h,10000,6782.92,-3217.08,-7073.7,-32.17,-70.74,24,3,21,12.5,Binance,4h
95,EMA_Crossover,BTC/USDT,4h,10000,6782.92,-3217.08,-7073.7,-32.17,-70.74,24,3,21,12.5,Binance,4h
96,RSI_Trend,AVAX/USDT,4h,10000,6761.44,-3238.56,-7120.92,-32.39,-71.21,54,12,42,22.22,Binance,4h
97,Volume_Spike,LINK/USDT,4h,10000,6748.47,-3251.53,-7149.45,-32.52,-71.49,59,29,30,49.15,Binance,4h
98,Momentum,SOL/USDT,4h,10000,6684.81,-3315.19,-7289.42,-33.15,-72.89,77,30,47,38.96,Binance,4h
99,Bollinger_Breakout,BTC/USDT,15m,10000,9797.29,-202.71,-7399.07,-2.03,-73.99,25,6,19,24.0,Binance,15m
100,Stochastic_Overbought,SOL/USDT,4h,10000,6612.89,-3387.11,-7447.57,-33.87,-74.48,58,13,45,22.41,Binance,4h
101,RSI_Oversold,LINK/USDT,1h,10000,9136.58,-863.42,-7686.53,-8.63,-76.87,33,20,13,60.61,Binance,1h
102,MACD_Crossover,BTC/USDT,15m,10000,9784.06,-215.94,-7881.98,-2.16,-78.82,38,12,26,31.58,Binance,15m
103,Momentum,BTC/USDT,15m,10000,9781.14,-218.86,-7988.43,-2.19,-79.88,75,22,53,29.33,Binance,15m
104,RSI_Oversold,AVAX/USDT,1h,10000,9101.26,-898.74,-8000.99,-8.99,-80.01,35,21,14,60.0,Binance,1h
105,Momentum,AVAX/USDT,4h,10000,6246.2,-3753.8,-8253.85,-37.54,-82.54,73,22,51,30.14,Binance,4h
106,MACD_Crossover,BTC/USDT,1h,10000,9008.6,-991.4,-8825.84,-9.91,-88.26,42,10,32,23.81,Binance,1h
107,MACD_Crossover,SOL/USDT,4h,10000,5867.42,-4132.58,-9086.69,-41.33,-90.87,34,11,23,32.35,Binance,4h
108,Stochastic_Oversold,SOL/USDT,4h,10000,5682.37,-4317.63,-9493.59,-43.18,-94.94,72,44,28,61.11,Binance,4h
109,EMA_Crossover,SOL/USDT,4h,10000,5681.86,-4318.14,-9494.71,-43.18,-94.95,20,4,16,20.0,Binance,4h
110,Supertrend,SOL/USDT,4h,10000,5681.86,-4318.14,-9494.71,-43.18,-94.95,20,4,16,20.0,Binance,4h
111,Trend_Strength,SOL/USDT,4h,10000,5681.86,-4318.14,-9494.71,-43.18,-94.95,20,4,16,20.0,Binance,4h
112,MACD_Crossover,LINK/USDT,4h,10000,5679.75,-4320.25,-9499.34,-43.2,-94.99,36,11,25,30.56,Binance,4h
113,RSI_Trend,SOL/USDT,4h,10000,5627.99,-4372.01,-9613.16,-43.72,-96.13,61,19,42,31.15,Binance,4h
114,Bollinger_MeanReversion,ETH/USDT,1h,10000,8907.91,-1092.09,-9722.23,-10.92,-97.22,33,17,16,51.52,Binance,1h
115,Stochastic_Oversold,LINK/USDT,4h,10000,5568.54,-4431.46,-9743.87,-44.31,-97.44,73,47,26,64.38,Binance,4h
116,RSI_Trend,LINK/USDT,4h,10000,5520.36,-4479.64,-9849.81,-44.8,-98.5,62,19,43,30.65,Binance,4h
117,Bollinger_Breakout,ETH/USDT,15m,10000,9721.35,-278.65,-10170.9,-2.79,-101.71,28,8,20,28.57,Binance,15m
118,Stochastic_Oversold,AVAX/USDT,4h,10000,5278.17,-4721.83,-10382.35,-47.22,-103.82,69,41,28,59.42,Binance,4h
119,MACD_Crossover,AVAX/USDT,4h,10000,5201.84,-4798.16,-10550.17,-47.98,-105.5,41,13,28,31.71,Binance,4h
120,MACD_Crossover,SOL/USDT,1h,10000,8798.59,-1201.41,-10695.44,-12.01,-106.95,40,12,28,30.0,Binance,1h
121,Supertrend,LINK/USDT,4h,10000,5078.19,-4921.81,-10822.06,-49.22,-108.22,22,4,18,18.18,Binance,4h
122,Trend_Strength,LINK/USDT,4h,10000,5078.19,-4921.81,-10822.06,-49.22,-108.22,22,4,18,18.18,Binance,4h
123,EMA_Crossover,LINK/USDT,4h,10000,5078.19,-4921.81,-10822.06,-49.22,-108.22,22,4,18,18.18,Binance,4h
124,RSI_Oversold,ETH/USDT,1h,10000,8760.34,-1239.66,-11035.98,-12.4,-110.36,35,20,15,57.14,Binance,1h
125,Bollinger_MeanReversion,BTC/USDT,1h,10000,8740.79,-1259.21,-11210.02,-12.59,-112.1,33,17,16,51.52,Binance,1h
126,Stochastic_Oversold,BTC/USDT,1h,10000,8720.46,-1279.54,-11391.07,-12.8,-113.91,74,41,33,55.41,Binance,1h
127,EMA_RSI_Filter,SOL/USDT,15m,10000,9686.18,-313.82,-11454.4,-3.14,-114.54,20,5,15,25.0,Binance,15m
128,Stochastic_Oversold,BTC/USDT,15m,10000,9685.74,-314.26,-11470.38,-3.14,-114.7,77,41,36,53.25,Binance,15m
129,Momentum,SOL/USDT,15m,10000,9669.75,-330.25,-12054.31,-3.3,-120.54,70,20,50,28.57,Binance,15m
130,ATR_Breakout,AVAX/USDT,15m,10000,9661.38,-338.62,-12359.51,-3.39,-123.6,61,21,40,34.43,Binance,15m
131,Volume_Spike,ETH/USDT,15m,10000,9660.1,-339.9,-12406.39,-3.4,-124.06,59,28,31,47.46,Binance,15m
132,Stochastic_Oversold,AVAX/USDT,1h,10000,8590.03,-1409.97,-12552.2,-14.1,-125.52,69,44,25,63.77,Binance,1h
133,ATR_Breakout,SOL/USDT,15m,10000,9655.61,-344.39,-12570.05,-3.44,-125.7,52,17,35,32.69,Binance,15m
134,Stochastic_Oversold,ETH/USDT,1h,10000,8553.84,-1446.16,-12874.39,-14.46,-128.74,63,38,25,60.32,Binance,1h
135,RSI_Oversold,BTC/USDT,1h,10000,8474.82,-1525.18,-13577.78,-15.25,-135.78,34,17,17,50.0,Binance,1h
136,RSI_Oversold,SOL/USDT,1h,10000,8409.0,-1591.0,-14163.78,-15.91,-141.64,44,21,23,47.73,Binance,1h
137,ATR_Breakout,LINK/USDT,15m,10000,9605.3,-394.7,-14406.57,-3.95,-144.07,47,17,30,36.17,Binance,15m
138,Momentum,ETH/USDT,15m,10000,9588.18,-411.82,-15031.33,-4.12,-150.31,77,21,56,27.27,Binance,15m
139,ATR_Breakout,ETH/USDT,15m,10000,9541.62,-458.38,-16730.71,-4.58,-167.31,55,17,38,30.91,Binance,15m
140,MACD_Crossover,AVAX/USDT,1h,10000,8081.72,-1918.28,-17077.4,-19.18,-170.77,48,11,37,22.92,Binance,1h
141,VWAP_Cross,BTC/USDT,15m,10000,9522.09,-477.91,-17443.61,-4.78,-174.44,20,1,19,5.0,Binance,15m
142,Stochastic_Oversold,SOL/USDT,1h,10000,7801.22,-2198.78,-19574.48,-21.99,-195.74,74,43,31,58.11,Binance,1h
143,MACD_Crossover,AVAX/USDT,15m,10000,9459.05,-540.95,-19744.62,-5.41,-197.45,47,15,32,31.91,Binance,15m
144,Volume_Spike,AVAX/USDT,15m,10000,9457.77,-542.23,-19791.57,-5.42,-197.92,63,28,35,44.44,Binance,15m
145,Bollinger_Breakout,SOL/USDT,15m,10000,9453.18,-546.82,-19958.82,-5.47,-199.59,30,6,24,20.0,Binance,15m
146,Bollinger_MeanReversion,SOL/USDT,1h,10000,7713.02,-2286.98,-20359.67,-22.87,-203.6,33,19,14,57.58,Binance,1h
147,ATR_Breakout,BTC/USDT,15m,10000,9437.22,-562.78,-20541.58,-5.63,-205.42,58,20,38,34.48,Binance,15m
