Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
478,Exit short,2026-02-23 17:00,TP/SL,65163.5,1,65996.7,833.2,1.26,833.2,1.26,-304.1,-0.46,7800.2,0.78
478,Entry short,2026-02-23 14:45,SELL,65996.7,1,65996.7,833.2,1.26,833.2,1.26,-304.1,-0.46,7800.2,0.78
479,Exit long,2026-02-23 23:45,TP/SL,64581,1,65006.7,-425.7,-0.65,0,0.00,-425.7,-0.65,7374.5,0.74
479,Entry long,2026-02-23 22:30,BUY,65006.7,1,65006.7,-425.7,-0.65,0,0.00,-425.7,-0.65,7374.5,0.74
480,Exit short,2026-02-24 01:15,TP/SL,63609.9,1,64359.1,749.2,1.16,749.2,1.16,-205.3,-0.32,8123.7,0.81
480,Entry short,2026-02-24 01:15,SELL,64359.1,1,64359.1,749.2,1.16,749.2,1.16,-205.3,-0.32,8123.7,0.81
481,Exit long,2026-02-24 12:45,TP/SL,63094.6,1,63391.6,-297,-0.47,12.8,0.02,-297,-0.47,7826.7,0.78
481,Entry long,2026-02-24 12:30,BUY,63391.6,1,63391.6,-297,-0.47,12.8,0.02,-297,-0.47,7826.7,0.78
482,Exit long,2026-02-24 16:00,TP/SL,64349.8,1,63522.8,827,1.30,827,1.30,-148.7,-0.23,8653.7,0.87
482,Entry long,2026-02-24 15:00,BUY,63522.8,1,63522.8,827,1.30,827,1.30,-148.7,-0.23,8653.7,0.87
483,Exit short,2026-02-25 01:00,TP/SL,64496,1,64189.6,-306.4,-0.48,239.1,0.37,-306.4,-0.48,8347.3,0.83
483,Entry short,2026-02-24 22:00,SELL,64189.6,1,64189.6,-306.4,-0.48,239.1,0.37,-306.4,-0.48,8347.3,0.83
484,Exit long,2026-02-25 05:30,TP/SL,65134.4,1,65667.3,-532.9,-0.81,713.9,1.09,-532.9,-0.81,7814.4,0.78
484,Entry long,2026-02-25 01:15,BUY,65667.3,1,65667.3,-532.9,-0.81,713.9,1.09,-532.9,-0.81,7814.4,0.78
485,Exit short,2026-02-25 08:30,TP/SL,65322.3,1,64883,-439.3,-0.68,80.3,0.12,-439.3,-0.68,7375.1,0.74
485,Entry short,2026-02-25 05:45,SELL,64883,1,64883,-439.3,-0.68,80.3,0.12,-439.3,-0.68,7375.1,0.74
486,Exit long,2026-02-25 13:00,TP/SL,66277.9,1,65538.8,739.1,1.13,739.1,1.13,-314.7,-0.48,8114.2,0.81
486,Entry long,2026-02-25 09:00,BUY,65538.8,1,65538.8,739.1,1.13,739.1,1.13,-314.7,-0.48,8114.2,0.81
487,Exit short,2026-02-26 14:45,TP/SL,67298.6,1,68472.7,1174.1,1.71,1174.1,1.71,-443.2,-0.65,9288.3,0.93
487,Entry short,2026-02-25 23:00,SELL,68472.7,1,68472.7,1174.1,1.71,1174.1,1.71,-443.2,-0.65,9288.3,0.93
488,Exit long,2026-02-27 01:00,TP/SL,66985.2,1,67560.4,-575.2,-0.85,306.9,0.45,-575.2,-0.85,8713.1,0.87
488,Entry long,2026-02-26 19:45,BUY,67560.4,1,67560.4,-575.2,-0.85,306.9,0.45,-575.2,-0.85,8713.1,0.87
489,Exit long,2026-02-27 10:00,TP/SL,67321.2,1,67638.1,-316.9,-0.47,633.8,0.94,-316.9,-0.47,8396.2,0.84
489,Entry long,2026-02-27 04:00,BUY,67638.1,1,67638.1,-316.9,-0.47,633.8,0.94,-316.9,-0.47,8396.2,0.84
490,Exit short,2026-02-27 11:30,TP/SL,66218.8,1,66927.6,708.8,1.06,708.8,1.06,-136,-0.20,9105,0.91
490,Entry short,2026-02-27 10:15,SELL,66927.6,1,66927.6,708.8,1.06,708.8,1.06,-136,-0.20,9105,0.91
491,Exit long,2026-02-28 06:15,TP/SL,65442.3,1,65789.9,-347.6,-0.53,293,0.45,-347.6,-0.53,8757.4,0.88
491,Entry long,2026-02-27 23:15,BUY,65789.9,1,65789.9,-347.6,-0.53,293,0.45,-347.6,-0.53,8757.4,0.88
492,Exit long,2026-02-28 13:45,TP/SL,64874,1,64117.7,756.3,1.18,756.3,1.18,-178.4,-0.28,9513.7,0.95
492,Entry long,2026-02-28 13:15,BUY,64117.7,1,64117.7,756.3,1.18,756.3,1.18,-178.4,-0.28,9513.7,0.95
493,Exit short,2026-03-01 01:45,TP/SL,66957.6,1,66413.4,-544.2,-0.82,56.5,0.09,-544.2,-0.82,8969.5,0.90
493,Entry short,2026-03-01 01:30,SELL,66413.4,1,66413.4,-544.2,-0.82,56.5,0.09,-544.2,-0.82,8969.5,0.90
494,Exit long,2026-03-01 08:45,TP/SL,66724.6,1,67449.3,-724.7,-1.07,832.7,1.23,-724.7,-1.07,8244.8,0.82
494,Entry long,2026-03-01 02:00,BUY,67449.3,1,67449.3,-724.7,-1.07,832.7,1.23,-724.7,-1.07,8244.8,0.82
495,Exit long,2026-03-01 16:45,TP/SL,66713,1,67161.2,-448.2,-0.67,143,0.21,-448.2,-0.67,7796.6,0.78
495,Entry long,2026-03-01 14:15,BUY,67161.2,1,67161.2,-448.2,-0.67,143,0.21,-448.2,-0.67,7796.6,0.78
496,Exit short,2026-03-01 20:30,TP/SL,65208.6,1,66188,979.4,1.48,979.4,1.48,-520.9,-0.79,8776,0.88
496,Entry short,2026-03-01 17:00,SELL,66188,1,66188,979.4,1.48,979.4,1.48,-520.9,-0.79,8776,0.88
497,Exit long,2026-03-02 01:00,TP/SL,67081.6,1,65964,1117.6,1.69,1117.6,1.69,0,0.00,9893.6,0.99
497,Entry long,2026-03-02 00:30,BUY,65964,1,65964,1117.6,1.69,1117.6,1.69,0,0.00,9893.6,0.99
498,Exit short,2026-03-02 09:15,TP/SL,66766.9,1,66248.6,-518.3,-0.78,641.2,0.97,-518.3,-0.78,9375.3,0.94
498,Entry short,2026-03-02 06:45,SELL,66248.6,1,66248.6,-518.3,-0.78,641.2,0.97,-518.3,-0.78,9375.3,0.94
499,Exit long,2026-03-02 13:00,TP/SL,65988.9,1,66357,-368.1,-0.55,161.9,0.24,-368.1,-0.55,9007.2,0.90
499,Entry long,2026-03-02 11:00,BUY,66357,1,66357,-368.1,-0.55,161.9,0.24,-368.1,-0.55,9007.2,0.90
500,Exit long,2026-03-02 15:00,TP/SL,68277.4,1,67239.7,1037.7,1.54,1037.7,1.54,-173.5,-0.26,10044.9,1.00
500,Entry long,2026-03-02 15:00,BUY,67239.7,1,67239.7,1037.7,1.54,1037.7,1.54,-173.5,-0.26,10044.9,1.00
501,Exit short,2026-03-03 05:45,TP/SL,67993.7,1,68905.5,911.8,1.32,911.8,1.32,-441,-0.64,10956.7,1.10
501,Entry short,2026-03-03 00:00,SELL,68905.5,1,68905.5,911.8,1.32,911.8,1.32,-441,-0.64,10956.7,1.10
502,Exit long,2026-03-03 13:00,TP/SL,67201.4,1,67685.6,-484.2,-0.72,0,0.00,-484.2,-0.72,10472.5,1.05
502,Entry long,2026-03-03 12:30,BUY,67685.6,1,67685.6,-484.2,-0.72,0,0.00,-484.2,-0.72,10472.5,1.05
503,Exit short,2026-03-03 14:45,TP/SL,66266.5,1,67190.3,923.8,1.37,923.8,1.37,-459.8,-0.68,11396.3,1.14
503,Entry short,2026-03-03 13:30,SELL,67190.3,1,67190.3,923.8,1.37,923.8,1.37,-459.8,-0.68,11396.3,1.14
504,Exit long,2026-03-04 07:45,TP/SL,69146.4,1,67823.3,1323.1,1.95,1323.1,1.95,-374,-0.55,12719.4,1.27
504,Entry long,2026-03-03 16:00,BUY,67823.3,1,67823.3,1323.1,1.95,1323.1,1.95,-374,-0.55,12719.4,1.27
505,Exit short,2026-03-05 07:45,TP/SL,71994.3,1,72997.5,1003.2,1.37,1003.2,1.37,-401.4,-0.55,13722.6,1.37
505,Entry short,2026-03-04 22:45,SELL,72997.5,1,72997.5,1003.2,1.37,1003.2,1.37,-401.4,-0.55,13722.6,1.37
506,Exit long,2026-03-05 10:30,TP/SL,73523.1,1,72705.6,817.5,1.12,817.5,1.12,-171.7,-0.24,14540.1,1.45
506,Entry long,2026-03-05 09:45,BUY,72705.6,1,72705.6,817.5,1.12,817.5,1.12,-171.7,-0.24,14540.1,1.45
