Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
417,Exit long,2024-05-23 11:00,Mean Exit,69527,0.001344,93.664704,-0.31,-0.34,0.11,0.11,-0.29,-0.31,-62.58,-6.26
417,Entry long,2024-05-23 08:00,Long,69691,0.001344,93.664704,-0.31,-0.34,0.11,0.11,-0.29,-0.31,-62.58,-6.26
418,Exit short,2024-05-24 06:45,Exit Short,67022,0.00139,93.67488,0.42,0.45,0.47,0.50,-0.27,-0.29,-62.16,-6.22
418,Entry short,2024-05-24 05:30,Short,67392,0.00139,93.67488,0.42,0.45,0.47,0.50,-0.27,-0.29,-62.16,-6.22
419,Exit long,2024-05-25 09:30,Exit Long,69101,0.00136,93.73664,0.15,0.16,0.19,0.21,-0.18,-0.19,-62.01,-6.20
419,Entry long,2024-05-25 08:30,Long,68924,0.00136,93.73664,0.15,0.16,0.19,0.21,-0.18,-0.19,-62.01,-6.20
420,Exit long,2024-05-26 00:15,Exit Long,69207,0.001352,93.755792,-0.28,-0.30,0,0.00,-0.23,-0.25,-62.29,-6.23
420,Entry long,2024-05-25 23:30,Long,69346,0.001352,93.755792,-0.28,-0.30,0,0.00,-0.23,-0.25,-62.29,-6.23
421,Exit short,2024-05-30 08:30,Exit Short,67481,0.001395,93.711915,-0.52,-0.55,0.05,0.06,-0.47,-0.50,-62.81,-6.28
421,Entry short,2024-05-30 08:15,Short,67177,0.001395,93.711915,-0.52,-0.55,0.05,0.06,-0.47,-0.50,-62.81,-6.28
422,Exit short,2024-06-02 09:30,Exit Short,67439,0.001386,93.632616,0.07,0.07,0.12,0.12,-0.06,-0.06,-62.74,-6.27
422,Entry short,2024-06-02 09:30,Short,67556,0.001386,93.632616,0.07,0.07,0.12,0.12,-0.06,-0.06,-62.74,-6.27
423,Exit long,2024-06-03 01:45,Exit Long,68469,0.001374,93.666954,0.32,0.34,0.36,0.39,-0.11,-0.11,-62.43,-6.24
423,Entry long,2024-06-03 01:30,Long,68171,0.001374,93.666954,0.32,0.34,0.36,0.39,-0.11,-0.11,-62.43,-6.24
424,Exit long,2024-06-03 13:45,Exit Long,70232,0.001343,93.695738,0.53,0.57,0.58,0.62,-0.37,-0.39,-61.89,-6.19
424,Entry long,2024-06-03 13:00,Long,69766,0.001343,93.695738,0.53,0.57,0.58,0.62,-0.37,-0.39,-61.89,-6.19
425,Exit long,2024-06-06 12:30,Exit Long,71156,0.001314,93.739446,-0.33,-0.36,0.03,0.03,-0.29,-0.31,-62.23,-6.22
425,Entry long,2024-06-06 12:30,Long,71339,0.001314,93.739446,-0.33,-0.36,0.03,0.03,-0.29,-0.31,-62.23,-6.22
426,Exit long,2024-06-07 05:45,Exit Long,71414,0.001317,93.720354,0.24,0.25,0.29,0.30,-0.19,-0.20,-61.99,-6.20
426,Entry long,2024-06-07 04:15,Long,71162,0.001317,93.720354,0.24,0.25,0.29,0.30,-0.19,-0.20,-61.99,-6.20
427,Exit short,2024-06-08 13:30,Exit Short,69332,0.001354,93.713048,-0.26,-0.27,0.04,0.04,-0.21,-0.22,-62.25,-6.22
427,Entry short,2024-06-08 13:30,Short,69212,0.001354,93.713048,-0.26,-0.27,0.04,0.04,-0.21,-0.22,-62.25,-6.22
428,Exit long,2024-06-09 12:45,Exit Long,69594,0.001348,93.702176,0.02,0.02,0.06,0.07,-0.05,-0.05,-62.23,-6.22
428,Entry long,2024-06-09 12:45,Long,69512,0.001348,93.702176,0.02,0.02,0.06,0.07,-0.05,-0.05,-62.23,-6.22
429,Exit long,2024-06-10 15:30,Exit Long,69981,0.001344,93.73728,0.22,0.24,0.27,0.29,-0.06,-0.07,-62.01,-6.20
429,Entry long,2024-06-10 15:15,Long,69745,0.001344,93.73728,0.22,0.24,0.27,0.29,-0.06,-0.07,-62.01,-6.20
430,Exit short,2024-06-12 02:00,Exit Short,67201,0.001399,93.70502,-0.4,-0.43,0.05,0.05,-0.36,-0.38,-62.41,-6.24
430,Entry short,2024-06-12 01:30,Short,66980,0.001399,93.70502,-0.4,-0.43,0.05,0.05,-0.36,-0.38,-62.41,-6.24
431,Exit long,2024-06-12 10:00,Exit Long,67984,0.001383,93.692718,0.24,0.25,0.28,0.30,-0.05,-0.05,-62.17,-6.22
431,Entry long,2024-06-12 10:00,Long,67746,0.001383,93.692718,0.24,0.25,0.28,0.30,-0.05,-0.05,-62.17,-6.22
432,Exit short,2024-06-12 19:30,Exit Short,68207,0.001361,93.681713,0.76,0.81,0.81,0.86,-0.59,-0.62,-61.41,-6.14
