Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,roi,ROI/annum,ROI_per_annum_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Max_Drawdown,Performance_Grade,Deployment_Status,Data_Source,Time_period_checked,Time_start,time_end,fees_exchnage,Parameters,Candle_Period
2838,VWAP_Momentum_Pro,BTCUSDT,4h,10000,7833.17,-2166.83,-21.67,-2166.83,-2166.83,43,7,36,16.28,0.75,4.61,-0.48,33.7,C,Inactive,Historical_Parquet,364 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
2839,Stochastic_Trend_ADX,BTCUSDT,15m,10000,7828.13,-2171.87,-21.72,-2171.87,-2171.87,75,10,65,13.33,0.82,4.81,-0.21,48.15,C,Inactive,Historical_Parquet,365 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",15m
2840,MACD_VWAP_Breakout,XRPUSDT,4h,10000,7815.97,-2184.03,-21.84,-21.84,-21.84,9,0,9,0,0,1.03,-2.82,,D,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
2841,Breakout_VWAP,XRPUSDT,4h,10000,7815.97,-2184.03,-21.84,-21.84,-21.84,9,0,9,0,0,1.03,-2.82,,D,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
2842,ADX_BB_Combo,BTCUSDT,1h,10000,7799.96,-2200.04,-22,-2200.04,-2200.04,182,28,154,15.38,0.9,3.25,-0.08,46.53,C,Inactive,Historical_Parquet,364 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",1h
2843,ADX_Volatility_Trade,BTCUSDT,1h,10000,7799.96,-2200.04,-22,-2200.04,-2200.04,182,28,154,15.38,0.9,3.25,-0.08,46.53,C,Inactive,Historical_Parquet,364 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",1h
2844,Triple_EMA_Cross,ETHUSDT,15m,10000,7798.13,-2201.87,-22.02,-22.02,-22.02,150,21,129,14,0.91,6.35,0.02,58.24,C,Inactive,Historical_Parquet,365 days,16-03-2025,16-03-2026,0.01%,"SL:0.01, TP:0.07, TS:0.01",15m
2845,MACD_Signal_Line,ETHUSDT,15m,10000,7798.13,-2201.87,-22.02,-22.02,-22.02,150,21,129,14,0.91,6.35,0.02,58.24,C,Inactive,Historical_Parquet,365 days,16-03-2025,16-03-2026,0.01%,"SL:0.01, TP:0.07, TS:0.01",15m
2846,Trend_Follower_Pro,BTCUSDT,4h,10000,7796.97,-2203.03,-22.03,-2203.03,-2203.03,44,7,37,15.91,0.73,4.44,-0.48,34.6,C,Inactive,Historical_Parquet,364 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
2847,EMA_Cloud_Strength,BTCUSDT,4h,10000,7796.97,-2203.03,-22.03,-2203.03,-2203.03,44,7,37,15.91,0.73,4.44,-0.48,34.6,C,Inactive,Historical_Parquet,364 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
2848,EMA_Momentum_Entry,BTCUSDT,15m,10000,7786.15,-2213.85,-22.14,-2213.85,-2213.85,65,8,57,12.31,0.79,4.97,-0.27,48.62,C,Inactive,Historical_Parquet,365 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",15m
2849,Momentum_Burst,BTCUSDT,15m,10000,7786.15,-2213.85,-22.14,-2213.85,-2213.85,65,8,57,12.31,0.79,4.97,-0.27,48.62,C,Inactive,Historical_Parquet,365 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",15m
2850,RSI_Trend_ADX,BTCUSDT,1h,10000,7785.53,-2214.47,-22.14,-2214.47,-2214.47,115,18,97,15.65,0.87,3.73,-0.15,47.93,C,Inactive,Historical_Parquet,364 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",1h
2851,Volume_Stochastic_MACD_ADX,BTCUSDT,15m,10000,7761.74,-2238.26,-22.38,-2238.26,-2238.26,35,5,30,14.29,0.74,6.8,-0.52,48.98,C,Inactive,Historical_Parquet,365 days,16-03-2025,16-03-2026,Entry:0.01% + Exit:0.01%,"SL:0.02, TP:0.12, TS:0.02",15m
