Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,roi,ROI/annum,ROI_per_annum_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Performance_Grade,Deployment_Status,Data_Source,Time_period_checked,Time_start,time_end,fees_exchnage,Parameters,Candle_Period
569,Stochastic_Trend_ADX,SOLUSDT,4h,10000,5783.05,-4216.95,-42.17,-42.17,-42.17,61,9,52,14.75,0.54,4.52,-0.83,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",4h
570,Breakout_Stochastic,SOLUSDT,4h,10000,5770.52,-4229.48,-42.29,-42.29,-42.29,46,7,39,15.22,0.55,5.23,-1.11,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
571,Stochastic_Momentum,SOLUSDT,4h,10000,5704.54,-4295.46,-42.95,-42.95,-42.95,106,21,85,19.81,0.7,4.41,-0.45,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
572,Stochastic_Cross_Pro,SOLUSDT,4h,10000,5670.33,-4329.67,-43.3,-43.3,-43.3,84,14,70,16.67,0.62,4.12,-0.61,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
573,ADX_EMA_VWAP_MACD,SOLUSDT,4h,10000,5667.94,-4332.06,-43.32,-43.32,-43.32,35,4,31,11.43,0.37,4.71,-1.57,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
574,Volume_MACD_ADX,SOLUSDT,4h,10000,5610.57,-4389.43,-43.89,-43.89,-43.89,42,5,37,11.9,0.4,4.73,-1.32,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
575,MACD_ADX_Combo,SOLUSDT,4h,10000,5544.56,-4455.44,-44.55,-44.55,-44.55,82,14,68,17.07,0.65,5.2,-0.61,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
576,MACD_Trend_Follow,SOLUSDT,4h,10000,5544.56,-4455.44,-44.55,-44.55,-44.55,82,14,68,17.07,0.65,5.2,-0.61,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
577,MACD_Supertrend_ADX,SOLUSDT,4h,10000,5544.56,-4455.44,-44.55,-44.55,-44.55,82,14,68,17.07,0.65,5.2,-0.61,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
578,Trend_BB_Trade,SOLUSDT,4h,10000,5494.02,-4505.98,-45.06,-45.06,-45.06,86,15,71,17.44,0.65,5.17,-0.59,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
579,VWAP_Trend_Strength,SOLUSDT,4h,10000,5489.39,-4510.61,-45.11,-45.11,-45.11,82,14,68,17.07,0.65,5.2,-0.62,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
580,EMA_Breakout_ADX,SOLUSDT,4h,10000,5485.25,-4514.75,-45.15,-45.15,-45.15,35,4,31,11.43,0.39,5.55,-1.63,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.02, TP:0.12, TS:0.02",4h
581,ADX_Volume_Break,SOLUSDT,4h,10000,5485.25,-4514.75,-45.15,-45.15,-45.15,35,4,31,11.43,0.39,5.55,-1.63,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.02, TP:0.12, TS:0.02",4h
582,MACD_Breakout,SOLUSDT,4h,10000,5444.05,-4555.95,-45.56,-45.56,-45.56,35,4,31,11.43,0.4,5.56,-1.65,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.02, TP:0.12, TS:0.02",4h
583,Multi_Timeframe_Entry,SOLUSDT,4h,10000,5443.21,-4556.79,-45.57,-45.57,-45.57,82,14,68,17.07,0.64,5.21,-0.63,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
584,ADX_EMA_Trade,SOLUSDT,4h,10000,5443.21,-4556.79,-45.57,-45.57,-45.57,82,14,68,17.07,0.64,5.21,-0.63,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
585,MACD_Trend_Strength,SOLUSDT,4h,10000,5441.04,-4558.96,-45.59,-45.59,-45.59,32,3,29,9.38,0.25,4.14,-1.89,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
586,Volume_Trend_ADX,SOLUSDT,4h,10000,5441.04,-4558.96,-45.59,-45.59,-45.59,32,3,29,9.38,0.25,4.14,-1.89,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
587,Channel_Trend_Follow,SOLUSDT,4h,10000,5434.22,-4565.78,-45.66,-45.66,-45.66,82,14,68,17.07,0.64,5.21,-0.64,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
588,Supertrend_Cluster,SOLUSDT,4h,10000,5434.22,-4565.78,-45.66,-45.66,-45.66,82,14,68,17.07,0.64,5.21,-0.64,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
589,VWAP_EMA_Strength,SOLUSDT,4h,10000,5434.22,-4565.78,-45.66,-45.66,-45.66,82,14,68,17.07,0.64,5.21,-0.64,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
590,ADX_Breakout,SOLUSDT,4h,10000,5434.22,-4565.78,-45.66,-45.66,-45.66,82,14,68,17.07,0.64,5.21,-0.64,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
591,Trend_Stochastic,SOLUSDT,4h,10000,5428.32,-4571.68,-45.72,-45.72,-45.72,67,10,57,14.93,0.53,4.59,-0.84,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",4h
592,Trend_All_Confirm,SOLUSDT,4h,10000,5396.34,-4603.66,-46.04,-46.04,-46.04,37,4,33,10.81,0.34,4.49,-1.63,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
593,BB_VWAP_ADX,SOLUSDT,4h,10000,5393.63,-4606.37,-46.06,-46.06,-46.06,49,7,42,14.29,0.43,4.79,-1.19,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
594,Trend_Strength_Entry,SOLUSDT,4h,10000,5387.5,-4612.5,-46.12,-46.12,-46.12,82,14,68,17.07,0.64,5.22,-0.65,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
595,Breakout_Hunter,SOLUSDT,4h,10000,5354.7,-4645.3,-46.45,-46.45,-46.45,42,5,37,11.9,0.42,4.79,-1.43,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.018, TP:0.1, TS:0.018",4h
596,BB_VWAP_Strategy,SOLUSDT,4h,10000,5330.26,-4669.74,-46.7,-46.7,-46.7,82,12,70,14.63,0.51,3.72,-0.72,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
597,BB_EMA_Pro,SOLUSDT,4h,10000,5330.26,-4669.74,-46.7,-46.7,-46.7,82,12,70,14.63,0.51,3.72,-0.72,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
598,Stochastic_Pro,SOLUSDT,4h,10000,5291.84,-4708.16,-47.08,-47.08,-47.08,89,14,75,15.73,0.57,3.89,-0.66,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",4h
599,Swing_Trade,SOLUSDT,4h,10000,5270.97,-4729.03,-47.29,-47.29,-47.29,87,16,71,18.39,0.63,4.95,-0.64,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.08, TS:0.015",4h
600,RSI_Trend_Trade,SOLUSDT,4h,10000,5238.92,-4761.08,-47.61,-47.61,-47.61,93,16,77,17.2,0.63,4.83,-0.6,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",4h
601,ADX_Volume_Trade,SOLUSDT,4h,10000,5217.58,-4782.42,-47.82,-47.82,-47.82,83,14,69,16.87,0.63,5.24,-0.68,C,Inactive,Historical_Parquet,365 days,1759420800,1773806400,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
